,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011564822882064618,171.27315115824604,"[-50.5999755859375, 287.1000061035156]",False,False
1,1,0.02373800438363105,171.2853297479196,"[-50.79998779296875, 286.5]",False,False
2,2,0.03493711504415842,171.29652525313213,"[-52.4000244140625, 283.3999938964844]",False,False
3,3,0.046691163657669676,171.30827960219904,"[-52.5, 279.1000061035156]",False,False
4,4,0.058447615898330696,171.3200363548931,"[-51.5999755859375, 280.3999938964844]",False,False
5,5,0.07023681759164901,171.33182525613665,"[-54.0999755859375, 282.5]",False,False
6,6,0.08200318480885471,171.34359192380361,"[-60.5999755859375, 280.6000061035156]",False,False
7,7,0.09375002253364073,171.3553390619818,"[-190.39999389648438, 240.60000610351562]",False,False
8,8,0.10549055072988267,171.36707898927125,"[-248.39999389648438, 212.89999389648438]",False,False
9,9,0.11725811976066325,171.37884685875542,"[-224.10000610351562, 226.0]",False,False
10,10,0.12905152780513163,171.3906402667999,"[-246.29998779296875, 223.29998779296875]",False,False
11,11,0.14081549139154959,171.4024045308397,"[-247.29998779296875, 220.60000610351562]",False,False
12,12,0.15253799236597843,171.41412823363135,"[-247.70001220703125, 217.5]",False,False
13,13,0.16429264188627712,171.42588108043128,"[-247.79998779296875, 218.0]",False,False
14,14,0.17611309076528414,171.43770152930665,"[-247.89999389648438, 216.39999389648438]",False,False
15,15,0.1878605293968576,171.44944926839526,"[-248.39999389648438, 215.5]",False,False
16,16,0.19959024126364966,171.46119610612004,"[-249.79998779296875, 215.70001220703125]",False,False
17,17,0.2113358771748608,171.4729252170764,"[-248.60000610351562, 214.60000610351562]",False,False
18,18,0.2231148634418787,171.48470390289367,"[-249.0, 213.39999389648438]",False,False
19,19,0.23494823182772961,171.49653697082613,"[-247.5, 213.10000610351562]",False,False
20,20,0.2466782441479154,171.50826758404946,"[-247.29998779296875, 213.10000610351562]",False,False
21,21,0.258372202024475,171.51996094101924,"[-248.10000610351562, 212.5000000000001]",False,False
22,22,0.27013796833125525,171.5317270077794,"[-247.29998779296875, 211.5]",False,False
23,23,0.28195300904189935,171.54354144758327,"[-247.29998779296875, 212.29998779296875]",False,False
24,24,0.29369834449971677,171.55528708349448,"[-245.79998779296875, 210.10000610351562]",False,False
25,25,0.3054175404831767,171.56700597902818,"[-246.20001220703125, 208.79998779296875]",False,False
26,26,0.3171821049763821,171.57877114442817,"[-246.60000610351562, 205.89999389648438]",False,False
27,27,0.3290497250818589,171.59063846408026,"[-246.20001220703125, 178.0]",False,False
28,28,0.34073016254478716,171.60231920199294,"[-256.20001220703125, -6.600006103515625]",True,False
29,29,0.35251575879374286,171.61410449779214,"[-280.5, -112.0999755859375]",False,False
30,30,0.3642127212078776,171.62580115974924,"[-245.39999389648438, -177.4000244140625]",False,False
31,31,0.3760010215410148,171.63759006098917,"[-256.6000061035156, -187.59997558593744]",False,False
32,32,0.3877613796830701,171.64936454045528,"[-252.39999389648438, -186.4000244140625]",False,False
33,33,0.3994907910928305,171.6610789291808,"[-253.39999389648438, -193.7999877929688]",False,False
34,34,0.4113028272695374,171.6728915662643,"[-255.29998779296875, -191.7999877929687]",False,False
35,35,0.42307820809219265,171.684682871135,"[-257.20001220703125, -190.79998779296875]",False,False
36,36,0.434871616140299,171.69646065558845,"[-252.70001220703125, -191.7999877929687]",False,False
37,37,0.44655325541316415,171.70814199441156,"[-252.29998779296875, -191.29998779296875]",False,False
38,38,0.45829829041758785,171.71988702941235,"[-251.0, -193.09997558593744]",False,False
39,39,0.47009049664848135,171.73167953609664,"[-251.70001220703125, -193.7999877929688]",False,False
40,40,0.4818869092305249,171.74347564822892,"[-252.39999389648438, -193.09997558593744]",False,False
41,41,0.49364065739064245,171.75524441907328,"[-255.20001220703125, -190.4000244140625]",False,False
42,42,0.5054013159860915,171.76699035543425,"[-254.10000610351562, -193.4000244140625]",False,False
43,43,0.5171114983604639,171.77869993690183,"[-252.20001220703125, -193.9000244140625]",False,False
44,44,0.5289427635725588,171.79053120211393,"[-249.89999389648438, -194.5]",False,False
45,45,0.5406661659108067,171.80225550581235,"[-254.39999389648438, -194.5999755859375]",False,False
46,46,0.5523907700626296,171.81397980951078,"[-270.0, -191.4000244140625]",False,False
47,47,0.564145720036322,171.8257341585777,"[-271.1000061035156, -182.70001220703125]",False,False
48,48,0.5759274103875214,171.83751614938592,"[-267.29998779296875, -185.29998779296875]",False,False
49,49,0.5877027912138146,171.8492909293018,"[-268.6000061035156, -186.0]",False,False
50,50,0.5994219872009126,171.86101072619567,"[-268.79998779296875, -184.9000244140625]",False,False
51,51,0.6111931616724178,171.87278190066718,"[-269.20001220703125, -185.5]",False,False
52,52,0.6229718474896799,171.88456058648444,"[-268.5, -185.40002441406256]",False,False
53,53,0.6347418201476103,171.89633116004916,"[-269.8999938964844, -186.09997558593756]",False,False
54,54,0.6464958687611215,171.90808460775588,"[-270.1000061035156, -185.00000000000006]",False,False
55,55,0.6582793618363212,171.91986840128448,"[-271.29998779296875, -185.70001220703125]",False,False
56,56,0.669999759636994,171.93158849863175,"[-274.0, -184.79998779296875]",False,False
57,57,0.6817823513483745,171.94337109034677,"[-273.6000061035156, -184.5999755859375]",False,False
58,58,0.6935991947830189,171.95518763332439,"[-274.6000061035156, -182.7999877929688]",False,False
59,59,0.7052949553799408,171.96688399483173,"[-275.1000061035156, -180.5]",False,False
60,60,0.7170658294016903,171.97865336658288,"[-274.1000061035156, -181.00000000000006]",False,False
61,61,0.7289238349912921,171.99051287443945,"[-274.5, -180.09997558593744]",False,False
62,62,0.7406394255303894,172.00222786407176,"[-275.5, -180.9000244140625]",False,False
63,63,0.7523508097219747,172.01396238319649,"[-275.5, -180.59997558593756]",False,False
64,64,0.7641469218506245,172.02573626175217,"[-275.6000061035156, -182.20001220703125]",False,False
65,65,0.7759039750017109,172.03749271399647,"[-276.3999938964844, -181.29998779296875]",False,False
66,66,0.7876607276994037,172.04924916624077,"[-276.0, -181.40002441406244]",False,False
67,67,0.7994057627001894,172.06099510260537,"[-284.5, -157.0]",False,False
68,68,0.8111516990647942,172.07274013760616,"[-415.3000030517578, -567.9999999999999]",False,False
69,69,0.8229336898693873,172.08452242886779,"(99999, 99999)",False,False
70,70,0.834697953909199,172.09628699335735,"(99999, 99999)",False,False
71,71,0.8464453925407724,172.10803383108214,"(99999, 99999)",False,False
72,72,0.8581766066745331,172.1197647447625,"(99999, 99999)",False,False
73,73,0.8699444761587074,172.13153291470007,"(99999, 99999)",False,False
74,74,0.8816955202346435,172.143283958776,"(99999, 99999)",False,False
75,75,0.8934408556924609,172.15502959468722,"(99999, 99999)",False,False
76,76,0.9051937024887593,172.16678244148352,"(99999, 99999)",False,False
77,77,0.9169741910263838,172.17856293002478,"(99999, 99999)",False,False
78,78,0.9288547306423425,172.1904434696371,"(99999, 99999)",False,False
79,79,0.9404762791818939,172.20206501817665,"(99999, 99999)",False,False
80,80,0.9522423459420679,172.21384730943464,"(99999, 99999)",False,False
81,81,0.9640144217773923,172.22560316077215,"(99999, 99999)",False,False
82,82,0.975811735719617,172.23740017426098,"[-537.0, -607.5]",False,False
83,83,0.9876222696257173,172.24921100862048,"[-347.0, -370.0]",False,False
84,84,0.9992786707916821,172.26086710933305,"[-354.29998779296875, -193.09997558593744]",False,False
85,85,1.01105345070755,172.27264218970595,"[-290.5, -90.2999877929687]",False,False
86,86,1.0228916263549763,172.28448066580313,"[-284.0, -6.600006103515625]",True,False
87,87,1.0345738665382669,172.29616230507963,"[-280.29998779296875, -67.0]",False,False
88,88,1.0463243097074155,172.30791304870218,"[-286.20001220703125, -66.20001220703125]",False,False
89,89,1.0580933810051647,172.31968242045332,"[-281.20001220703125, -67.2000122070313]",False,False
90,90,1.0698486314322508,172.33143706997362,"[-281.8999938964844, -64.79998779296875]",False,False
91,91,1.0816249136187253,172.34321425352027,"[-283.8999938964844, -62.9000244140625]",False,False
92,92,1.0933633386412112,172.35495177718258,"[-286.1000061035156, -57.79998779296875]",False,False
93,93,1.1051227954194474,172.36672805936905,"[-282.5, -59.5999755859375]",False,False
94,94,1.1169089925788285,172.378515458342,"[-281.3999938964844, -58.59997558593756]",False,False
95,95,1.1286768620593648,172.39029444460903,"[-310.3999938964844, -39.9000244140625]",True,False
96,96,1.140405372108944,172.40199351020055,"[-326.0, -25.79998779296875]",True,False
97,97,1.1521657302509993,172.41375507015618,"[-319.6000061035156, -23.79998779296875]",True,False
98,98,1.1639528287705616,172.42554126731193,"[-321.29998779296875, -24.799987792968693]",True,False
99,99,1.1756996664953476,172.43728780458332,"[-322.29998779296875, -22.899993896484375]",True,False
100,100,1.1875023886059353,172.44910825346233,"[-323.20001220703125, -22.100006103515625]",True,False
101,101,1.19920355737122,172.4607919959126,"[-322.0, -21.79998779296875]",True,False
102,102,1.210984646815632,172.4725733858104,"[-319.6000061035156, -22.70001220703125]",True,False
103,103,1.2228279301743896,172.48441727007594,"[-320.0, -20.399993896484318]",True,False
104,104,1.2344873358742916,172.49609169846372,"[-318.79998779296875, -22.5]",True,False
105,105,1.2462506985539221,172.50785656341031,"[-318.0, -22.899993896484375]",True,False
106,106,1.2580269807403965,172.51961511882837,"[-318.5, -24.399993896484432]",True,False
107,107,1.2698179851577152,172.53140672415248,"[-318.70001220703125, -24.70001220703125]",True,False
108,108,1.2815498001982633,172.54313853919302,"[-316.3999938964844, -24.899993896484375]",True,False
109,109,1.293321575576556,172.55491001412156,"[-289.0, -20.899993896484375]",True,False
110,110,1.305068413301342,172.56665685184635,"[-292.5, -27.600006103515625]",True,False
111,111,1.316856713638117,172.57844575308627,"[-292.79998779296875, -28.5]",True,False
112,112,1.3285987441013276,172.59018778355312,"[-294.1000061035156, -13.899993896484375]",True,False
113,113,1.3403353664034512,172.6019244058516,"[-354.6000061035156, -331.5999755859375]",False,False
114,114,1.352093020461325,172.61369918576747,"(99999, 99999)",False,False
115,115,1.3638831235148245,172.62547186250958,"(99999, 99999)",False,False
116,116,1.3756308625997917,172.63722020250498,"(99999, 99999)",False,False
117,117,1.3873801039553655,172.64896854249673,"(99999, 99999)",False,False
118,118,1.3991314484846953,172.6607204879365,"(99999, 99999)",False,False
119,119,1.410886098004994,172.6724748370034,"(99999, 99999)",False,False
120,120,1.4226930264703697,172.68428176546513,"(99999, 99999)",False,False
121,121,1.434417029715405,172.69600606916356,"(99999, 99999)",False,False
122,122,1.446172580595885,172.70776071868386,"(99999, 99999)",False,False
123,123,1.4579419523470278,172.719530090435,"(99999, 99999)",False,False
124,124,1.4697251449688338,172.7313135835102,"(99999, 99999)",False,False
125,125,1.4814236096499371,172.74301114683112,"(99999, 99999)",False,False
126,126,1.4932110086228931,172.75479854580408,"(99999, 99999)",False,False
127,127,1.5050182375380246,172.76660547426582,"(99999, 99999)",False,False
128,128,1.51679121473353,172.77837845146132,"(99999, 99999)",False,False
129,129,1.5284800648951204,172.7900673016229,"(99999, 99999)",False,False
130,130,1.5402560466282011,172.8018447856266,"(99999, 99999)",False,False
131,131,1.552046750592126,172.8136354895869,"(99999, 99999)",False,False
132,132,1.5638350509252632,172.82543971396808,"(99999, 99999)",False,False
133,133,1.575580085929687,172.83716852447105,"(99999, 99999)",False,False
134,134,1.5873209145793226,172.84890965357408,"[-515.8000030517578, -289.09997558593756]",False,False
135,135,1.5991161253477912,172.86070456388916,"[-493.1000061035156, -122.5999755859375]",False,False
136,136,1.6108692726011213,172.87245801159588,"[-432.3000030517578, -8.600006103515625]",False,False
137,137,1.6226116035213636,172.88420064296952,"[-356.29998779296875, 75.79998779296875]",False,False
138,138,1.6343722621131747,172.89596130156497,"[-353.3999938964844, -11.0]",False,False
139,139,1.6461374275131675,172.90772616651157,"[-352.0, -13.20001220703125]",False,False
140,140,1.6578974852018291,172.9194859237432,"[-345.79998779296875, -8.500000000000057]",True,False
141,141,1.6696323047799524,172.9312210437747,"[-349.70001220703125, -6.399993896484375]",False,False
142,142,1.681408286513033,172.9429967250544,"[-349.5, -1.3999938964843182]",False,False
143,143,1.6931455097183061,172.95475017276112,"[-350.1000061035156, 0.399993896484375]",False,False
144,144,1.7049293032468995,172.96651804224166,"[-348.29998779296875, 1.8999938964844318]",True,False
145,145,1.7166941681934986,172.9782982303259,"[-346.8999938964844, 2.100006103515568]",True,False
146,146,1.728449118167191,172.99003785716195,"[-344.3999938964844, 4.100006103515682]",True,False
147,147,1.7402127813002153,173.00180152029498,"[-345.1000061035156, 4.20001220703125]",True,False
148,148,1.751962022652151,173.01355076165055,"[-341.29998779296875, 4.100006103515682]",True,False
149,149,1.7637479193581385,173.0253366583529,"[-340.6000061035156, 0.5]",True,False
150,150,1.7754896493679553,173.03707838836635,"[-339.70001220703125, 0.9999999999999432]",True,False
151,151,1.7872686356386112,173.04885707417998,"[-341.5, 0.0]",True,False
