,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011587558699375222,162.18911787337993,"[-293.70001220703125, -15.100006103515568]",True,False
1,1,0.024186963838474185,162.20171817991422,"[-293.20001220703125, -16.200012207031193]",True,False
2,2,0.03484836875941255,162.21237958483562,"[-293.3999938964844, -15.899993896484375]",True,False
3,3,0.04658243426638364,162.22411334987692,"[-292.8999938964844, -14.600006103515625]",True,False
4,4,0.05835766349855476,162.23588857910954,"[-293.0, -14.399993896484375]",True,False
5,5,0.0701205736600059,162.24765148927054,"[-294.5, -14.100006103515625]",True,False
6,6,0.08186395358643495,162.25939486919697,"[-294.8999938964844, -14.5]",True,False
7,7,0.09364909816849831,162.27118001377949,"[-295.3999938964844, -14.5]",True,False
8,8,0.10543844926314705,162.28296936487368,"[-295.20001220703125, -15.100006103515568]",True,False
9,9,0.11714126639435563,162.2946721820049,"[-295.6000061035156, -12.399993896484375]",True,False
10,10,0.12890297469493817,162.30643389030593,"[-296.6000061035156, -15.0]",True,False
11,11,0.14070704858158933,162.31823796419258,"[-295.6000061035156, -13.100006103515568]",True,False
12,12,0.15246064432312778,162.32999186039933,"[-296.29998779296875, -13.899993896484375]",True,False
13,13,0.16419771448181564,162.34172863009235,"[-295.8999938964844, -15.100006103515568]",True,False
14,14,0.1759555167354847,162.35348643234602,"[-294.5, -14.700012207031307]",True,False
15,15,0.18770791061615455,162.36523882622714,"[-296.0, -13.100006103515568]",True,False
16,16,0.1995002663620653,162.37703118197305,"[-297.1000061035156, -14.200012207031193]",True,False
17,17,0.2117015551775694,162.3892324707881,"[-296.1000061035156, -13.399993896484375]",True,False
18,18,0.22343381789323757,162.40096473350422,"[-297.79998779296875, -11.399993896484432]",True,False
19,19,0.23523038015127895,162.41276159622703,"[-298.20001220703125, -11.70001220703125]",True,False
20,20,0.24696594798388105,162.42449686359487,"[-298.1000061035156, -11.899993896484375]",True,False
21,21,0.25874898931033385,162.43627990492087,"[-297.5, -10.79998779296875]",True,False
22,22,0.2704992799349384,162.44803049601114,"[-298.70001220703125, -11.399993896484432]",True,False
23,23,0.2822390542796711,162.4597852936131,"[-297.70001220703125, -12.700012207031307]",True,False
24,24,0.29399054676514425,162.47152176284135,"[-298.5, -11.5]",True,False
25,25,0.3058288736792747,162.4833594888246,"[-298.3999938964844, -13.70001220703125]",True,False
26,26,0.31750254569078606,162.49503406223175,"[-299.70001220703125, -12.100006103515625]",True,False
27,27,0.32929369957628296,162.50682611751245,"[-299.3999938964844, -11.799987792968693]",True,False
28,28,0.3410121408951454,162.51854305650568,"[-298.79998779296875, -11.70001220703125]",True,False
29,29,0.3528138110605141,162.53034442620628,"[-294.79998779296875, -11.799987792968693]",True,False
30,30,0.3645151258660917,162.54204604147708,"[-273.70001220703125, -14.100006103515625]",True,False
31,31,0.3762753318410432,162.55382127070925,"[-294.20001220703125, -13.799987792968807]",True,False
32,32,0.3880412466537564,162.56557186179953,"[-287.3999938964844, -14.200012207031193]",True,False
33,33,0.39982969635275367,162.5773606119633,"[-286.6000061035156, -13.0]",True,False
34,34,0.4116427841941004,162.58917339933942,"[-287.6000061035156, -15.299987792968693]",True,False
35,35,0.4234138069141409,162.60095824345672,"[-287.8999938964844, -14.399993896484375]",True,False
36,36,0.4351283421865446,162.61265925779708,"[-288.0, -15.0]",True,False
37,37,0.44690026630223656,162.62443118191277,"[-287.29998779296875, -14.600006103515625]",True,False
38,38,0.4586694862314289,162.6362001013772,"[-288.0, -15.100006103515568]",True,False
39,39,0.47041797406564,162.6479491901414,"[-287.8999938964844, -15.20001220703125]",True,False
40,40,0.48216736329504783,162.65969797844036,"[-286.8999938964844, -15.100006103515568]",True,False
41,41,0.4939305739212614,162.67146239092745,"[-286.0, -14.399993896484375]",True,False
42,42,0.5057616896715444,162.6832929057473,"[-286.5, -13.399993896484375]",True,False
43,43,0.5174137281924232,162.6949446438034,"[-286.79998779296875, -14.399993896484375]",True,False
44,44,0.5291787416094849,162.7067099576857,"[-287.5, -13.29998779296875]",True,False
45,45,0.5409452573526323,162.71847647342884,"[-286.1000061035156, -13.999999999999943]",True,False
46,46,0.552720186120041,162.73025110173057,"[-287.5, -15.299987792968693]",True,False
47,47,0.56444914371923,162.74198005932976,"[-286.6000061035156, -13.5]",True,False
48,48,0.5762282789983146,162.75375949507452,"[-285.29998779296875, -12.899993896484318]",True,False
