,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011600453334267513,360.7787161471915,"[-339.1000061035156, -4.499999999999943]",True,False
1,1,0.02391990702608382,360.79103650226307,"[-340.1000061035156, -3.29998779296875]",True,False
2,2,0.03507628074066815,360.80219257551744,"[-339.20001220703125, -3.79998779296875]",True,False
3,3,0.04679181018673262,360.8139081049635,"[-336.29998779296875, -3.899993896484432]",True,False
4,4,0.05855361044586971,360.82566990522264,"[-338.79998779296875, -5.200012207031307]",True,False
5,5,0.07033343829425576,360.83745003353124,"[-338.8999938964844, -3.70001220703125]",True,False
6,6,0.08213910568792926,360.8492554004647,"[-340.1000061035156, -5.79998779296875]",True,False
7,7,0.09385163053593715,360.8609679253127,"[-338.0, -3.79998779296875]",True,False
8,8,0.10559660504486601,360.87271289982164,"[-339.5, -3.899993896484432]",True,False
9,9,0.11737012323692397,360.88448641801415,"[-338.6000061035156, -3.899993896484432]",True,False
10,10,0.1291484487865091,360.8962647435633,"[-339.20001220703125, -5.399993896484318]",True,False
11,11,0.14088020306326143,360.90799649784003,"[-340.3999938964844, -3.79998779296875]",True,False
12,12,0.1526399001036225,360.9197561948804,"[-339.1000061035156, -4.79998779296875]",True,False
13,13,0.16440230128227995,360.9315185960595,"[-341.0, -5.29998779296875]",True,False
14,14,0.17618693648819317,360.94330323126496,"[-339.20001220703125, -6.0]",True,False
15,15,0.18792169536300207,360.9550382906,"[-339.5, -6.20001220703125]",True,False
16,16,0.19967989010410747,360.96679618488133,"[-337.29998779296875, -7.399993896484432]",True,False
17,17,0.21144169036324456,360.97855798514047,"[-339.0, -7.0]",True,False
18,18,0.22321821315381385,360.99033450793104,"[-338.6000061035156, -9.100006103515625]",True,False
19,19,0.23497851111369528,361.0020948058909,"[-336.3999938964844, -7.70001220703125]",True,False
20,20,0.24672288470310377,361.0138391794803,"[-340.3999938964844, -9.799987792968693]",True,False
21,21,0.258482882203225,361.0255994774402,"[-337.6000061035156, -7.200012207031307]",True,False
22,22,0.2702296594711697,361.0373459542484,"[-339.1000061035156, -3.399993896484318]",True,False
23,23,0.2821428914817261,361.0492591862585,"[-338.5, -5.70001220703125]",True,False
24,24,0.2938397924185665,361.06095638765555,"[-336.70001220703125, -8.20001220703125]",True,False
25,25,0.3055790581911424,361.0726953529679,"[-337.29998779296875, -8.79998779296875]",True,False
