,frameN,routine_time,global_time,gaze,good_fixation,click
0,0,0.011564133064894122,460.66900880962567,"[-221.79998779296875, -4.0]",False,False
1,1,0.023950670179146982,460.68140195673914,"[-221.0, -1.600006103515625]",False,False
2,2,0.03505817249788379,460.6925049522406,"[-220.5, -2.899993896484375]",False,False
3,3,0.046712502002264955,460.704159281745,"[-220.70001220703125, -3.29998779296875]",False,False
4,4,0.05847229103528662,460.715919070778,"[-223.5, -3.200012207031307]",False,False
5,5,0.07024409824771283,460.72769117844564,"[-223.29998779296875, -2.799987792968807]",False,False
6,6,0.08200599046176649,460.7394524697502,"[-219.5, -2.299987792968693]",False,False
7,7,0.09380363676154957,460.7512507169595,"[-220.70001220703125, -2.20001220703125]",False,False
8,8,0.10553968988915585,460.76298616917757,"[-222.10000610351562, -2.899993896484375]",False,False
9,9,0.11730849255673093,460.77475557275466,"[-219.5, -2.100006103515682]",False,False
10,10,0.1290793984062475,460.7865264786042,"[-218.89999389648438, -1.3999938964843182]",False,False
11,11,0.1407697824506613,460.7982168626477,"[-222.10000610351562, -3.100006103515625]",False,False
12,12,0.1525241633025871,460.8099703421358,"[-221.60000610351562, -1.2000122070311932]",False,False
13,13,0.16430047733229003,460.8217475575302,"[-220.0, -1.79998779296875]",False,False
14,14,0.1761089399942648,460.8335563206456,"[-218.20001220703125, -2.0]",False,False
15,15,0.18784228903132316,460.84528936922834,"[-218.29998779296875, -1.2000122070311932]",False,False
16,16,0.19957563806838152,460.8570227182654,"[-217.10000610351562, -1.5]",False,False
17,17,0.21133001892030734,460.868776798663,"[-217.20001220703125, 0.70001220703125]",False,False
18,18,0.22313187158215442,460.8805786513258,"[-217.39999389648438, 0.10000610351568184]",False,False
19,19,0.23491479561198503,460.8923630776271,"[-217.89999389648438, -0.899993896484375]",False,False
20,20,0.24660578056500526,460.904052860762,"[-219.29998779296875, -1.8999938964844318]",False,False
21,21,0.25837458323258033,460.9158213629753,"[-219.20001220703125, -1.2000122070311932]",False,False
22,22,0.2701388790828787,460.9275862597351,"[-218.29998779296875, -2.499999999999943]",False,False
23,23,0.2819410321999385,460.93938841285217,"[-218.39999389648438, -3.70001220703125]",False,False
24,24,0.29370983486751356,460.95115691506544,"[-216.70001220703125, -3.29998779296875]",False,False
25,25,0.3054555025391892,460.9629022822819,"[-216.20001220703125, -3.200012207031307]",False,False
26,26,0.31719816566601367,460.9746440440449,"[-216.39999389648438, -2.799987792968807]",False,False
27,27,0.32894563606441807,460.9863918148976,"[-216.20001220703125, -3.899993896484432]",False,False
28,28,0.3406756801014126,460.9981212580269,"[-217.0, -3.399993896484318]",False,False
29,29,0.3524628104942167,461.0099086888731,"[-217.39999389648438, -4.20001220703125]",False,False
30,30,0.36421148271074344,461.02165706063533,"[-217.70001220703125, -4.399993896484375]",False,False
31,31,0.3759980121931221,461.03344509239105,"[-217.70001220703125, -5.100006103515625]",False,False
32,32,0.3877427785018881,461.0451901591532,"[-217.20001220703125, -5.000000000000057]",False,False
33,33,0.39949595753569156,461.0569424368241,"[-215.79998779296875, -6.0]",False,False
34,34,0.4112701683843625,461.0687166476728,"[-218.39999389648438, -5.5]",False,False
35,35,0.4231594533057432,461.08060683395706,"[-220.39999389648438, -3.70001220703125]",False,False
36,36,0.4348486355311252,461.09229571572905,"[-220.60000610351562, -5.29998779296875]",False,False
37,37,0.44656245502574166,461.1040101361323,"[-220.29998779296875, -5.29998779296875]",False,False
38,38,0.4583444776917531,461.11579125743447,"[-221.5, -4.600006103515625]",False,False
39,39,0.4701376171742595,461.1275849978256,"[-220.89999389648438, -5.5]",False,False
40,40,0.4819109266591113,461.13935800685704,"[-221.0, -4.700012207031193]",False,False
41,41,0.4936124275191105,461.15105920726273,"[-221.20001220703125, -5.899993896484375]",False,False
42,42,0.5054293029070323,461.16287608264975,"[-220.79998779296875, -5.899993896484375]",False,False
43,43,0.5171917960306018,461.17463947713713,"[-220.70001220703125, -5.000000000000057]",False,False
44,44,0.5289026109803672,461.18636501435685,"[-221.5, -5.29998779296875]",False,False
45,45,0.5406254441095371,461.19807252430746,"[-221.39999389648438, -6.299987792968807]",False,False
46,46,0.5523837308701331,461.20984763651904,"[-221.39999389648438, -6.100006103515682]",False,False
47,47,0.5641546367196497,461.22160141646236,"[-221.70001220703125, -5.200012207031307]",False,False
48,48,0.5759351571123261,461.23338223731025,"[-222.5, -3.5]",False,False
49,49,0.5876600934234375,461.24510747407567,"[-222.5, -4.100006103515682]",False,False
50,50,0.5994234879108262,461.25687056810784,"[-222.60000610351562, -3.79998779296875]",False,False
51,51,0.611203106940593,461.2686498866833,"[-222.89999389648438, -4.79998779296875]",False,False
52,52,0.6230286955078554,461.2804757757058,"[-211.39999389648438, -9.799987792968693]",False,False
53,53,0.6347007518279497,461.29214783202497,"[-141.70001220703125, -19.499999999999943]",False,False
54,54,0.6464647472239449,461.30391212787526,"[-156.20001220703125, -21.79998779296875]",False,False
55,55,0.6582398594355254,461.31568633872394,"[-159.20001220703125, -20.000000000000057]",False,False
56,56,0.6700215816472337,461.32746896229855,"[-154.79998779296875, -23.399993896484375]",False,False
57,57,0.6818399593066715,461.3392873399589,"[-154.29998779296875, -23.20001220703125]",False,False
58,58,0.6935096119905211,461.35095639173323,"[-154.20001220703125, -23.0]",False,False
59,59,0.705275410113245,461.3627230912198,"[-153.79998779296875, -21.79998779296875]",False,False
60,60,0.7171331473127793,461.3745802275098,"[-154.10000610351562, -22.100006103515625]",False,False
61,61,0.728833145900353,461.38627992564307,"[-154.89999389648438, -21.499999999999943]",False,False
62,62,0.7405779122082095,461.3980249924052,"[-155.60000610351562, -21.299987792968807]",False,False
63,63,0.7523545266931251,461.40980160689014,"[-155.39999389648438, -20.79998779296875]",False,False
64,64,0.764156078900669,461.4216031590986,"[-155.79998779296875, -20.200012207031307]",False,False
65,65,0.7758512702166627,461.4332980499594,"[-155.89999389648438, -22.5]",False,False
66,66,0.7876729528761643,461.4451197326189,"[-155.5, -20.200012207031307]",False,False
67,67,0.7994366478178563,461.4568840284692,"[-155.39999389648438, -19.79998779296875]",False,False
68,68,0.8111312382243341,461.46857831842226,"[-154.79998779296875, -20.100006103515625]",False,False
69,69,0.8228874218029887,461.4803345020009,"[-154.5, -21.79998779296875]",False,False
70,70,0.8346249772030205,461.49207205740095,"[-221.29998779296875, -9.999999999999943]",False,False
71,71,0.846390174417138,461.50383695415985,"[-255.0, -3.100006103515625]",True,False
72,72,0.8581863184444956,461.5156330981872,"[-246.60000610351562, -2.70001220703125]",False,False
73,73,0.8699235733902242,461.52737065358724,"[-246.70001220703125, -2.20001220703125]",False,False
74,74,0.8817125065088476,461.5391595867068,"[-249.79998779296875, -1.79998779296875]",False,False
75,75,0.8934338373665014,461.5508809175635,"[-252.79998779296875, -0.70001220703125]",True,False
76,76,0.9052053441246244,461.56265212386734,"[-252.70001220703125, -1.3999938964843182]",True,False
77,77,0.9170904226830316,461.57453720242574,"[-254.10000610351562, -2.100006103515682]",True,False
78,78,0.9287189131000559,461.5861665942066,"[-254.0, -2.499999999999943]",True,False
79,79,0.9405363893965841,461.5979831691393,"[-253.79998779296875, -3.000000000000057]",True,False
80,80,0.9522736443423128,461.609720424085,"[-253.39999389648438, -1.600006103515625]",True,False
81,81,0.9640241192855683,461.6214708990283,"[-253.60000610351562, -3.29998779296875]",True,False
82,82,0.9757490555966797,461.6331955348851,"[-253.79998779296875, -3.79998779296875]",True,False
83,83,0.9875121496288557,461.6449589293725,"[-253.29998779296875, -6.399993896484375]",True,False
84,84,0.999279149569702,461.6567259293133,"[-252.10000610351562, -4.700012207031193]",True,False
85,85,1.011079499960033,461.66852658015705,"[-252.5, -4.20001220703125]",True,False
86,86,1.0228374862663259,461.68028456646334,"[-252.79998779296875, -3.200012207031307]",True,False
87,87,1.0345555121239158,461.69200289277524,"[-253.39999389648438, -5.399993896484318]",True,False
88,88,1.0463210097923366,461.70376808998935,"[-254.0, -5.000000000000057]",True,False
89,89,1.0581126470015079,461.7155594267442,"[-254.5, -3.600006103515568]",True,False
90,90,1.0698922660312746,461.7273396466835,"[-254.79998779296875, -5.600006103515568]",True,False
91,91,1.0816325255218544,461.73907900481026,"[-255.70001220703125, -4.499999999999943]",True,False
92,92,1.0933622691045457,461.7508096497568,"[-255.29998779296875, -3.79998779296875]",True,False
93,93,1.1051506013154722,461.7625970806039,"[-255.10000610351562, -5.600006103515568]",True,False
94,94,1.1168977712586639,461.7743448514566,"[-254.70001220703125, -5.29998779296875]",True,False
95,95,1.1286431384760363,461.78608991821875,"[-255.20001220703125, -5.899993896484375]",True,False
96,96,1.1404044297814835,461.7978518104337,"[-254.89999389648438, -6.600006103515625]",True,False
97,97,1.1521807438111864,461.8096278240091,"[-268.8999938964844, -10.700012207031307]",True,False
98,98,1.1639540532969477,461.8214014339492,"[-271.0, -15.70001220703125]",True,False
99,99,1.175695815059953,461.8331630257089,"[-266.5, -11.799987792968693]",True,False
100,100,1.187447491821331,461.84489517292786,"[-267.3999938964844, -11.5]",True,False
