,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, 20)","(6, 5)","(6, 20)","(6, 5)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, -2)"
7,"(8, 20)","(8, 20)","(8, 35)","(8, -2)"
8,"(9, 13)","(9, 20)","(9, 35)","(9, -2)"
9,"(10, 13)","(10, 13)","(10, 35)","(10, -9)"
10,"(11, 13)","(11, 13)","(11, 28)","(11, -6)"
11,"(12, 6)","(12, 13)","(12, 28)","(12, -6)"
12,"(13, 9)","(13, 6)","(13, 28)","(13, -3)"
13,"(14, 9)","(14, 6)","(14, 21)","(14, -3)"
14,"(15, 9)","(15, 6)","(15, 21)","(15, -3)"
15,"(16, 6)","(16, -1)","(16, 21)","(16, 0)"
16,"(17, 6)","(17, -1)","(17, 14)","(17, 0)"
17,"(18, 6)","(18, -1)","(18, 14)","(18, 0)"
18,"(19, 9)","(19, -8)","(19, 17)","(19, 3)"
19,"(20, 9)","(20, -5)","(20, 17)","(20, 3)"
20,,"(21, -5)","(21, 17)","(21, 6)"
21,,"(22, -5)","(22, 20)","(22, 9)"
22,,"(23, -2)","(23, 23)","(23, 9)"
23,,"(24, 1)","(24, 23)","(24, 9)"
24,,"(25, 1)","(25, 23)","(25, 12)"
25,,"(26, 1)",,"(26, 12)"
26,,"(27, 4)",,"(27, 12)"
27,,"(28, 7)",,
28,,"(29, 7)",,
29,,"(30, 7)",,
