,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, 5)","(6, 5)","(6, 5)","(6, 5)"
6,"(7, -2)","(7, -2)","(7, -2)","(7, -2)"
7,"(8, 1)","(8, 1)","(8, 1)","(8, 1)"
8,"(9, 4)","(9, 1)","(9, 4)","(9, 1)"
9,"(10, 4)","(10, 4)","(10, 4)","(10, 1)"
10,"(11, 4)","(11, 7)","(11, 4)","(11, -2)"
11,"(12, 1)","(12, 7)","(12, 1)","(12, 1)"
12,"(13, 4)","(13, 7)","(13, 1)","(13, 1)"
13,"(14, 4)","(14, 4)","(14, 1)","(14, 4)"
14,"(15, 4)","(15, 4)","(15, 4)","(15, 4)"
15,"(16, 1)","(16, 4)","(16, 4)","(16, 4)"
16,"(17, 4)","(17, 7)","(17, 4)","(17, 1)"
17,"(18, 4)","(18, 7)","(18, 1)","(18, 4)"
18,"(19, 4)","(19, 7)","(19, 4)","(19, 4)"
19,"(20, 1)","(20, 4)","(20, 4)","(20, 4)"
