,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, -40)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, -25)","(5, 5)"
5,"(6, 5)","(6, 5)","(6, -10)","(6, 5)"
6,"(7, -2)","(7, -2)","(7, -10)","(7, -2)"
7,"(8, 1)","(8, 1)","(8, 5)","(8, 1)"
8,"(9, 4)","(9, 1)","(9, 5)","(9, 1)"
9,"(10, 4)","(10, 1)","(10, 5)","(10, 4)"
10,"(11, 4)","(11, 4)","(11, -2)","(11, 4)"
11,"(12, 1)","(12, 4)","(12, 1)","(12, 4)"
12,"(13, 1)","(13, 4)","(13, 1)","(13, 7)"
13,"(14, 1)","(14, 1)","(14, 1)","(14, 7)"
14,"(15, -2)","(15, 1)","(15, -2)","(15, 7)"
15,"(16, -2)","(16, 1)","(16, -2)","(16, 4)"
16,"(17, -2)","(17, 4)","(17, -2)","(17, 4)"
17,"(18, -5)","(18, 4)","(18, -5)","(18, 4)"
18,"(19, -2)","(19, 4)","(19, -2)","(19, 1)"
19,"(20, 1)","(20, 1)","(20, 1)","(20, 4)"
