,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 5)","(5, 5)"
5,"(6, 35)","(6, 20)","(6, 20)","(6, 20)"
6,"(7, 35)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 35)","(8, 13)","(8, 20)","(8, 20)"
8,"(9, 28)","(9, 13)","(9, 13)","(9, 13)"
9,"(10, 28)","(10, 13)","(10, 13)","(10, 13)"
10,"(11, 28)","(11, 6)","(11, 13)","(11, 13)"
11,"(12, 21)","(12, 9)","(12, 6)","(12, 6)"
12,"(13, 21)","(13, 9)","(13, 9)","(13, 9)"
13,"(14, 21)","(14, 9)","(14, 9)","(14, 9)"
14,"(15, 14)","(15, 6)","(15, 12)","(15, 9)"
15,"(16, 17)","(16, 9)","(16, 12)","(16, 6)"
16,"(17, 17)","(17, 9)","(17, 12)","(17, 6)"
17,"(18, 17)","(18, 12)","(18, 9)","(18, 6)"
18,"(19, 20)","(19, 12)","(19, 9)","(19, 3)"
19,"(20, 20)","(20, 12)","(20, 12)","(20, 6)"
20,"(21, 20)",,,
