,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, 35)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 35)"
4,"(5, 20)","(5, 5)","(5, 5)","(5, 35)"
5,"(6, 20)","(6, 20)","(6, 5)","(6, 28)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 31)"
7,"(8, 13)","(8, 20)","(8, 20)","(8, 31)"
8,"(9, 13)","(9, 13)","(9, 20)","(9, 34)"
9,"(10, 13)","(10, 13)","(10, 13)","(10, 34)"
10,"(11, 6)","(11, 13)","(11, 13)","(11, 34)"
11,"(12, 6)","(12, 6)","(12, 13)","(12, 31)"
12,"(13, 9)","(13, 9)","(13, 6)","(13, 31)"
13,"(14, 9)","(14, 9)","(14, 6)","(14, 34)"
14,"(15, 9)","(15, 9)","(15, 6)","(15, 34)"
15,"(16, 6)","(16, 12)","(16, 9)","(16, 34)"
16,"(17, 9)","(17, 12)","(17, 9)","(17, 31)"
17,"(18, 12)","(18, 12)","(18, 9)","(18, 31)"
18,"(19, 12)","(19, 9)","(19, 6)","(19, 31)"
19,"(20, 12)","(20, 9)","(20, 6)","(20, 28)"
