,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, 20)","(6, 5)","(6, 5)","(6, 5)"
6,"(7, 20)","(7, -2)","(7, -2)","(7, -2)"
7,"(8, 35)","(8, 1)","(8, 1)","(8, 1)"
8,"(9, 35)","(9, 4)","(9, 4)","(9, 4)"
9,"(10, 35)","(10, 4)","(10, 7)","(10, 4)"
10,"(11, 28)","(11, 4)","(11, 10)","(11, 7)"
11,"(12, 28)","(12, 7)","(12, 13)","(12, 7)"
12,"(13, 28)","(13, 10)","(13, 13)","(13, 10)"
13,"(14, 21)","(14, 10)","(14, 16)","(14, 10)"
14,"(15, 21)","(15, 13)","(15, 19)","(15, 10)"
15,"(16, 21)","(16, 13)","(16, 19)","(16, 7)"
16,"(17, 24)","(17, 13)","(17, 22)","(17, 7)"
17,"(18, 24)","(18, 10)","(18, 22)","(18, 7)"
18,"(19, 24)","(19, 10)","(19, 22)","(19, 4)"
19,"(20, 21)","(20, 10)","(20, 19)","(20, 4)"
