,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 20)","(5, 20)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 13)","(8, 13)","(8, 13)","(8, 13)"
8,"(9, 13)","(9, 16)","(9, 16)","(9, 13)"
9,"(10, 13)","(10, 19)","(10, 16)","(10, 13)"
10,"(11, 6)","(11, 22)","(11, 16)","(11, 6)"
11,"(12, 6)","(12, 22)","(12, 13)","(12, 6)"
12,"(13, 6)","(13, 22)","(13, 16)","(13, 6)"
13,"(14, 9)","(14, 19)","(14, 19)","(14, -1)"
14,"(15, 9)","(15, 19)","(15, 22)","(15, 2)"
15,"(16, 9)","(16, 19)","(16, 22)","(16, 2)"
16,"(17, 6)","(17, 16)","(17, 25)","(17, 2)"
17,"(18, 6)","(18, 16)","(18, 25)","(18, -1)"
18,"(19, 9)","(19, 19)","(19, 25)","(19, 2)"
19,"(20, 12)","(20, 22)","(20, 28)","(20, 2)"
