,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 20)","(5, 5)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, 5)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, -2)"
7,"(8, 13)","(8, 13)","(8, 13)","(8, -2)"
8,"(9, 13)","(9, 13)","(9, 13)","(9, -2)"
9,"(10, 13)","(10, 13)","(10, 13)","(10, -9)"
10,"(11, 6)","(11, 6)","(11, 6)","(11, -6)"
11,"(12, 6)","(12, 6)","(12, 9)","(12, -3)"
12,"(13, 9)","(13, 6)","(13, 12)","(13, -3)"
13,"(14, 12)","(14, 9)","(14, 12)","(14, -3)"
14,"(15, 12)","(15, 12)","(15, 12)","(15, 0)"
15,"(16, 12)","(16, 12)","(16, 9)","(16, 0)"
16,"(17, 9)","(17, 12)","(17, 9)","(17, 0)"
17,"(18, 12)","(18, 9)","(18, 9)","(18, -3)"
18,"(19, 12)","(19, 9)","(19, 12)","(19, -3)"
19,"(20, 15)","(20, 9)","(20, 12)","(20, -3)"
