,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, 5)","(6, 5)","(6, 5)","(6, 5)"
6,"(7, -2)","(7, -2)","(7, -2)","(7, -2)"
7,"(8, -2)","(8, -2)","(8, -2)","(8, 1)"
8,"(9, -2)","(9, -2)","(9, -2)","(9, 1)"
9,"(10, -9)","(10, -9)","(10, -9)","(10, 1)"
10,"(11, -6)","(11, -6)","(11, -9)","(11, -2)"
11,"(12, -6)","(12, -3)","(12, -9)","(12, -2)"
12,"(13, -3)","(13, -3)","(13, -16)","(13, -2)"
13,"(14, -3)","(14, -3)","(14, -13)","(14, 1)"
14,"(15, -3)","(15, -6)","(15, -10)","(15, 1)"
15,"(16, 0)","(16, -3)","(16, -7)","(16, 4)"
16,"(17, 0)","(17, -3)","(17, -7)","(17, 4)"
17,"(18, 0)","(18, -3)","(18, -4)","(18, 4)"
18,"(19, 3)","(19, 0)","(19, -4)","(19, 7)"
19,"(20, 3)","(20, 0)","(20, -4)","(20, 7)"
20,"(21, 3)",,,
