,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, 20)","(6, 20)","(6, 5)","(6, 5)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, -2)"
7,"(8, 13)","(8, 20)","(8, 20)","(8, 1)"
8,"(9, 13)","(9, 13)","(9, 20)","(9, 1)"
9,"(10, 16)","(10, 13)","(10, 13)","(10, 4)"
10,"(11, 16)","(11, 13)","(11, 13)","(11, 4)"
11,"(12, 16)","(12, 6)","(12, 13)","(12, 4)"
12,"(13, 13)","(13, 9)","(13, 6)","(13, 1)"
13,"(14, 13)","(14, 9)","(14, 6)","(14, 4)"
14,"(15, 13)","(15, 9)","(15, 6)","(15, 7)"
15,"(16, 10)","(16, 6)","(16, -1)","(16, 7)"
16,"(17, 10)","(17, 6)","(17, -1)","(17, 7)"
17,"(18, 10)","(18, 6)","(18, -1)","(18, 4)"
18,"(19, 13)","(19, 3)","(19, -8)","(19, 4)"
19,"(20, 13)","(20, 6)","(20, -5)","(20, 4)"
20,,,"(21, -2)",
21,,,"(22, 1)",
22,,,"(23, 1)",
23,,,"(24, 1)",
