,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 50)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 50)","(5, 20)"
5,"(6, 5)","(6, 5)","(6, 50)","(6, 20)"
6,"(7, -2)","(7, 20)","(7, 43)","(7, 20)"
7,"(8, 1)","(8, 20)","(8, 43)","(8, 35)"
8,"(9, 1)","(9, 20)","(9, 43)","(9, 35)"
9,"(10, 4)","(10, 13)","(10, 36)","(10, 35)"
10,"(11, 7)","(11, 13)","(11, 36)","(11, 28)"
11,"(12, 7)","(12, 13)","(12, 36)","(12, 28)"
12,"(13, 7)","(13, 6)","(13, 39)","(13, 28)"
13,"(14, 4)","(14, 9)","(14, 39)","(14, 21)"
14,"(15, 4)","(15, 9)","(15, 39)","(15, 24)"
15,"(16, 7)","(16, 9)","(16, 36)","(16, 24)"
16,"(17, 10)","(17, 6)","(17, 39)","(17, 27)"
17,"(18, 10)","(18, 9)","(18, 42)","(18, 27)"
18,"(19, 13)","(19, 9)","(19, 42)","(19, 27)"
19,"(20, 13)","(20, 9)","(20, 42)","(20, 30)"
20,,,,"(21, 30)"
21,,,,"(22, 33)"
22,,,,"(23, 33)"
23,,,,"(24, 36)"
24,,,,"(25, 36)"
25,,,,"(26, 36)"
