,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, 35)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 35)"
4,"(5, 20)","(5, 5)","(5, 5)","(5, 35)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, 28)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 28)"
7,"(8, 13)","(8, 20)","(8, 20)","(8, 28)"
8,"(9, 13)","(9, 13)","(9, 13)","(9, 21)"
9,"(10, 13)","(10, 13)","(10, 13)","(10, 21)"
10,"(11, 6)","(11, 13)","(11, 13)","(11, 21)"
11,"(12, 6)","(12, 6)","(12, 6)","(12, 14)"
12,"(13, 9)","(13, 6)","(13, 6)","(13, 17)"
13,"(14, 12)","(14, 6)","(14, 6)","(14, 20)"
14,"(15, 12)","(15, 9)","(15, 9)","(15, 20)"
15,"(16, 12)","(16, 12)","(16, 9)","(16, 20)"
16,"(17, 9)","(17, 12)","(17, 12)","(17, 17)"
17,"(18, 9)","(18, 12)","(18, 12)","(18, 17)"
18,"(19, 9)","(19, 9)","(19, 12)","(19, 17)"
19,"(20, 6)","(20, 9)","(20, 9)","(20, 14)"
