,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, 35)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 35)"
4,"(5, 5)","(5, 20)","(5, 5)","(5, 35)"
5,"(6, 5)","(6, 20)","(6, 20)","(6, 28)"
6,"(7, 20)","(7, 35)","(7, 20)","(7, 28)"
7,"(8, 20)","(8, 35)","(8, 20)","(8, 28)"
8,"(9, 35)","(9, 35)","(9, 13)","(9, 31)"
9,"(10, 35)","(10, 28)","(10, 13)","(10, 31)"
10,"(11, 35)","(11, 28)","(11, 13)","(11, 31)"
11,"(12, 28)","(12, 28)","(12, 16)","(12, 34)"
12,"(13, 28)","(13, 21)","(13, 16)","(13, 34)"
13,"(14, 28)","(14, 21)","(14, 16)","(14, 34)"
14,"(15, 21)","(15, 21)","(15, 13)","(15, 31)"
15,"(16, 21)","(16, 14)","(16, 16)","(16, 31)"
16,"(17, 21)","(17, 14)","(17, 16)","(17, 34)"
17,"(18, 14)","(18, 14)","(18, 16)","(18, 37)"
18,"(19, 14)","(19, 7)","(19, 19)","(19, 37)"
19,"(20, 14)","(20, 7)","(20, 19)","(20, 37)"
20,"(21, 7)","(21, 7)",,
21,"(22, 7)","(22, 0)",,
22,"(23, 7)","(23, 3)",,
23,"(24, 0)","(24, 3)",,
24,"(25, 3)","(25, 3)",,
25,"(26, 3)",,,
26,"(27, 6)",,,
27,"(28, 9)",,,
28,"(29, 12)",,,
29,"(30, 15)",,,
30,"(31, 15)",,,
31,"(32, 15)",,,
