,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 20)","(5, 5)","(5, 5)"
5,"(6, 5)","(6, 20)","(6, 20)","(6, 5)"
6,"(7, -2)","(7, 20)","(7, 35)","(7, -2)"
7,"(8, -2)","(8, 13)","(8, 35)","(8, 1)"
8,"(9, -2)","(9, 13)","(9, 35)","(9, 4)"
9,"(10, -9)","(10, 13)","(10, 28)","(10, 4)"
10,"(11, -6)","(11, 6)","(11, 28)","(11, 7)"
11,"(12, -3)","(12, 6)","(12, 28)","(12, 7)"
12,"(13, 0)","(13, 6)","(13, 31)","(13, 7)"
13,"(14, 0)","(14, -1)","(14, 31)","(14, 4)"
14,"(15, 0)","(15, 2)","(15, 31)","(15, 7)"
15,"(16, -3)","(16, 5)","(16, 28)","(16, 7)"
16,"(17, 0)","(17, 8)","(17, 28)","(17, 10)"
17,"(18, 0)","(18, 8)","(18, 28)","(18, 10)"
18,"(19, 0)","(19, 8)","(19, 25)","(19, 13)"
19,"(20, -3)","(20, 11)","(20, 25)","(20, 13)"
20,,"(21, 14)",,
21,,"(22, 14)",,
22,,"(23, 14)",,
