,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, -40)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, -25)","(5, 5)","(5, 20)"
5,"(6, 5)","(6, -10)","(6, 5)","(6, 20)"
6,"(7, -2)","(7, 5)","(7, -2)","(7, 20)"
7,"(8, 1)","(8, 5)","(8, -2)","(8, 13)"
8,"(9, 4)","(9, 5)","(9, -2)","(9, 13)"
9,"(10, 4)","(10, -2)","(10, -9)","(10, 13)"
10,"(11, 4)","(11, -2)","(11, -9)","(11, 16)"
11,"(12, 1)","(12, 1)","(12, -9)","(12, 16)"
12,"(13, 1)","(13, 1)","(13, -16)","(13, 16)"
13,"(14, 1)","(14, 1)","(14, -16)","(14, 13)"
14,"(15, -2)","(15, -2)","(15, -13)","(15, 13)"
15,"(16, 1)","(16, -2)","(16, -13)","(16, 13)"
16,"(17, 1)","(17, -2)","(17, -10)","(17, 10)"
17,"(18, 1)","(18, -5)","(18, -10)","(18, 10)"
18,"(19, -2)","(19, -2)","(19, -10)","(19, 10)"
19,"(20, 1)","(20, -2)","(20, -13)","(20, 13)"
