,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 20)","(5, 5)"
5,"(6, 5)","(6, 5)","(6, 20)","(6, 5)"
6,"(7, 20)","(7, -2)","(7, 20)","(7, -2)"
7,"(8, 20)","(8, 1)","(8, 13)","(8, 1)"
8,"(9, 20)","(9, 1)","(9, 16)","(9, 4)"
9,"(10, 13)","(10, 1)","(10, 16)","(10, 4)"
10,"(11, 13)","(11, 4)","(11, 16)","(11, 4)"
11,"(12, 13)","(12, 4)","(12, 13)","(12, 1)"
12,"(13, 6)","(13, 4)","(13, 13)","(13, 4)"
13,"(14, 6)","(14, 1)","(14, 13)","(14, 7)"
14,"(15, 6)","(15, 1)","(15, 10)","(15, 7)"
15,"(16, -1)","(16, 1)","(16, 10)","(16, 7)"
16,"(17, -1)","(17, -2)","(17, 10)","(17, 4)"
17,"(18, 2)","(18, -2)","(18, 7)","(18, 4)"
18,"(19, 2)","(19, -2)","(19, 7)","(19, 4)"
19,"(20, 2)","(20, -5)","(20, 7)","(20, 1)"
