,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 20)","(5, 20)"
5,"(6, 5)","(6, 5)","(6, 35)","(6, 20)"
6,"(7, -2)","(7, -2)","(7, 35)","(7, 35)"
7,"(8, -2)","(8, -2)","(8, 35)","(8, 35)"
8,"(9, 1)","(9, -2)","(9, 28)","(9, 35)"
9,"(10, 4)","(10, 1)","(10, 31)","(10, 28)"
10,"(11, 7)","(11, 1)","(11, 31)","(11, 28)"
11,"(12, 10)","(12, 1)","(12, 31)","(12, 28)"
12,"(13, 10)","(13, -2)","(13, 28)","(13, 31)"
13,"(14, 10)","(14, -2)","(14, 28)","(14, 31)"
14,"(15, 7)","(15, -2)","(15, 28)","(15, 31)"
15,"(16, 10)","(16, -5)","(16, 25)","(16, 28)"
16,"(17, 10)","(17, -5)","(17, 28)","(17, 28)"
17,"(18, 10)","(18, -2)","(18, 28)","(18, 28)"
18,"(19, 13)","(19, 1)","(19, 31)","(19, 31)"
19,"(20, 13)","(20, 1)","(20, 31)","(20, 31)"
