,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, -40)","(4, 5)","(4, -40)","(4, 5)"
4,"(5, -25)","(5, 20)","(5, -70)","(5, 5)"
5,"(6, -10)","(6, 20)","(6, -55)","(6, 5)"
6,"(7, 5)","(7, 20)","(7, -40)","(7, -2)"
7,"(8, 5)","(8, 13)","(8, -40)","(8, -2)"
8,"(9, 5)","(9, 13)","(9, -40)","(9, -2)"
9,"(10, -2)","(10, 13)","(10, -47)","(10, -9)"
10,"(11, -2)","(11, 6)","(11, -47)","(11, -6)"
11,"(12, -2)","(12, 9)","(12, -47)","(12, -6)"
12,"(13, -9)","(13, 9)","(13, -54)","(13, -3)"
13,"(14, -9)","(14, 9)","(14, -54)","(14, -3)"
14,"(15, -9)","(15, 12)","(15, -51)","(15, -3)"
15,"(16, -16)","(16, 12)","(16, -51)","(16, 0)"
16,"(17, -16)","(17, 12)","(17, -51)","(17, 0)"
17,"(18, -16)","(18, 9)","(18, -54)","(18, 0)"
18,"(19, -23)","(19, 9)","(19, -51)","(19, -3)"
19,"(20, -20)","(20, 9)","(20, -48)","(20, -3)"
20,"(21, -20)",,,
21,"(22, -17)",,,
22,"(23, -17)",,,
23,"(24, -17)",,,
