,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 5)","(5, 5)"
5,"(6, 35)","(6, 20)","(6, 5)","(6, 5)"
6,"(7, 35)","(7, 20)","(7, -2)","(7, -2)"
7,"(8, 35)","(8, 13)","(8, 1)","(8, -2)"
8,"(9, 28)","(9, 16)","(9, 1)","(9, -2)"
9,"(10, 28)","(10, 19)","(10, 1)","(10, -9)"
10,"(11, 28)","(11, 19)","(11, -2)","(11, -6)"
11,"(12, 21)","(12, 19)","(12, -2)","(12, -3)"
12,"(13, 21)","(13, 16)","(13, -2)","(13, -3)"
13,"(14, 21)","(14, 16)","(14, -5)","(14, -3)"
14,"(15, 14)","(15, 16)","(15, -5)","(15, -6)"
15,"(16, 17)","(16, 13)","(16, -2)","(16, -6)"
16,"(17, 20)","(17, 13)","(17, 1)","(17, -6)"
17,"(18, 23)","(18, 13)","(18, 1)","(18, -9)"
18,"(19, 23)","(19, 10)","(19, 1)","(19, -9)"
19,"(20, 23)","(20, 10)","(20, -2)","(20, -9)"
