,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 5)","(5, 20)"
5,"(6, 35)","(6, 5)","(6, 5)","(6, 20)"
6,"(7, 35)","(7, 20)","(7, -2)","(7, 20)"
7,"(8, 35)","(8, 20)","(8, -2)","(8, 13)"
8,"(9, 28)","(9, 20)","(9, -2)","(9, 13)"
9,"(10, 28)","(10, 13)","(10, -9)","(10, 16)"
10,"(11, 28)","(11, 13)","(11, -9)","(11, 19)"
11,"(12, 21)","(12, 13)","(12, -9)","(12, 19)"
12,"(13, 24)","(13, 6)","(13, -16)","(13, 19)"
13,"(14, 24)","(14, 9)","(14, -13)","(14, 16)"
14,"(15, 24)","(15, 9)","(15, -13)","(15, 16)"
15,"(16, 21)","(16, 12)","(16, -10)","(16, 16)"
16,"(17, 24)","(17, 12)","(17, -7)","(17, 13)"
17,"(18, 27)","(18, 12)","(18, -7)","(18, 13)"
18,"(19, 30)","(19, 9)","(19, -4)","(19, 16)"
19,"(20, 30)","(20, 9)","(20, -1)","(20, 16)"
20,,,"(21, -1)",
21,,,"(22, -1)",
