,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 20)","(5, 5)"
5,"(6, 20)","(6, 5)","(6, 20)","(6, 20)"
6,"(7, 20)","(7, -2)","(7, 20)","(7, 20)"
7,"(8, 13)","(8, -2)","(8, 13)","(8, 20)"
8,"(9, 16)","(9, -2)","(9, 13)","(9, 13)"
9,"(10, 16)","(10, -9)","(10, 13)","(10, 13)"
10,"(11, 16)","(11, -6)","(11, 6)","(11, 13)"
11,"(12, 13)","(12, -3)","(12, 9)","(12, 6)"
12,"(13, 13)","(13, -3)","(13, 9)","(13, 9)"
13,"(14, 16)","(14, -3)","(14, 12)","(14, 9)"
14,"(15, 16)","(15, 0)","(15, 15)","(15, 12)"
15,"(16, 16)","(16, 0)","(16, 15)","(16, 12)"
16,"(17, 13)","(17, 3)","(17, 15)","(17, 12)"
17,"(18, 13)","(18, 3)","(18, 12)","(18, 9)"
18,"(19, 13)","(19, 3)","(19, 12)","(19, 12)"
19,"(20, 10)","(20, 0)","(20, 12)","(20, 12)"
