,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 20)","(5, 5)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 13)","(8, 13)","(8, 13)","(8, 20)"
8,"(9, 13)","(9, 13)","(9, 16)","(9, 13)"
9,"(10, 16)","(10, 16)","(10, 16)","(10, 13)"
10,"(11, 16)","(11, 16)","(11, 16)","(11, 13)"
11,"(12, 19)","(12, 16)","(12, 13)","(12, 6)"
12,"(13, 19)","(13, 13)","(13, 16)","(13, 6)"
13,"(14, 19)","(14, 16)","(14, 16)","(14, 9)"
14,"(15, 16)","(15, 19)","(15, 16)","(15, 9)"
15,"(16, 19)","(16, 19)","(16, 13)","(16, 9)"
16,"(17, 19)","(17, 19)","(17, 13)","(17, 6)"
17,"(18, 19)","(18, 16)","(18, 16)","(18, 9)"
18,"(19, 16)","(19, 16)","(19, 16)","(19, 12)"
19,"(20, 16)","(20, 16)","(20, 16)","(20, 12)"
