,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, -40)","(4, -40)","(4, 5)","(4, 5)"
4,"(5, -25)","(5, -70)","(5, 5)","(5, 20)"
5,"(6, -10)","(6, -55)","(6, 5)","(6, 20)"
6,"(7, -10)","(7, -40)","(7, 20)","(7, 20)"
7,"(8, 5)","(8, -25)","(8, 20)","(8, 35)"
8,"(9, 5)","(9, -10)","(9, 20)","(9, 35)"
9,"(10, 5)","(10, -10)","(10, 13)","(10, 35)"
10,"(11, -2)","(11, -10)","(11, 13)","(11, 28)"
11,"(12, -2)","(12, 5)","(12, 13)","(12, 28)"
12,"(13, -2)","(13, 5)","(13, 6)","(13, 28)"
13,"(14, -9)","(14, 5)","(14, 6)","(14, 21)"
14,"(15, -9)","(15, -2)","(15, 9)","(15, 21)"
15,"(16, -9)","(16, -2)","(16, 9)","(16, 24)"
16,"(17, -16)","(17, -2)","(17, 9)","(17, 24)"
17,"(18, -13)","(18, 1)","(18, 6)","(18, 24)"
18,"(19, -13)","(19, 1)","(19, 6)","(19, 21)"
19,"(20, -13)","(20, 1)","(20, 6)","(20, 21)"
