,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 5)","(5, 20)"
5,"(6, 5)","(6, 20)","(6, 5)","(6, 20)"
6,"(7, -2)","(7, 20)","(7, -2)","(7, 20)"
7,"(8, 1)","(8, 20)","(8, 1)","(8, 13)"
8,"(9, 4)","(9, 13)","(9, 1)","(9, 13)"
9,"(10, 7)","(10, 13)","(10, 4)","(10, 13)"
10,"(11, 10)","(11, 13)","(11, 4)","(11, 6)"
11,"(12, 13)","(12, 6)","(12, 4)","(12, 9)"
12,"(13, 13)","(13, 9)","(13, 1)","(13, 9)"
13,"(14, 13)","(14, 9)","(14, 4)","(14, 9)"
14,"(15, 16)","(15, 9)","(15, 7)","(15, 12)"
15,"(16, 16)","(16, 6)","(16, 7)","(16, 15)"
16,"(17, 16)","(17, 9)","(17, 7)","(17, 15)"
17,"(18, 13)","(18, 9)","(18, 4)","(18, 15)"
18,"(19, 13)","(19, 9)","(19, 7)","(19, 12)"
19,"(20, 13)","(20, 6)","(20, 7)","(20, 12)"
