,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 5)","(5, 20)"
5,"(6, 20)","(6, 5)","(6, 5)","(6, 20)"
6,"(7, 20)","(7, -2)","(7, -2)","(7, 20)"
7,"(8, 13)","(8, 1)","(8, -2)","(8, 13)"
8,"(9, 13)","(9, 4)","(9, -2)","(9, 13)"
9,"(10, 13)","(10, 7)","(10, 1)","(10, 13)"
10,"(11, 6)","(11, 7)","(11, 1)","(11, 16)"
11,"(12, 9)","(12, 10)","(12, 1)","(12, 16)"
12,"(13, 9)","(13, 13)","(13, -2)","(13, 16)"
13,"(14, 12)","(14, 16)","(14, -2)","(14, 13)"
14,"(15, 12)","(15, 16)","(15, -2)","(15, 13)"
15,"(16, 12)","(16, 16)","(16, -5)","(16, 13)"
16,"(17, 9)","(17, 13)","(17, -5)","(17, 10)"
17,"(18, 12)","(18, 13)","(18, -5)","(18, 10)"
18,"(19, 12)","(19, 13)","(19, -2)","(19, 10)"
19,"(20, 12)","(20, 10)","(20, -2)","(20, 7)"
