,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, 5)","(6, 20)","(6, 5)","(6, 5)"
6,"(7, -2)","(7, 20)","(7, -2)","(7, -2)"
7,"(8, 1)","(8, 20)","(8, -2)","(8, 1)"
8,"(9, 1)","(9, 13)","(9, 1)","(9, 1)"
9,"(10, 1)","(10, 13)","(10, 4)","(10, 1)"
10,"(11, 4)","(11, 13)","(11, 4)","(11, 4)"
11,"(12, 4)","(12, 6)","(12, 4)","(12, 4)"
12,"(13, 7)","(13, 6)","(13, 7)","(13, 4)"
13,"(14, 7)","(14, 6)","(14, 7)","(14, 1)"
14,"(15, 7)","(15, -1)","(15, 7)","(15, 4)"
15,"(16, 4)","(16, -1)","(16, 4)","(16, 4)"
16,"(17, 4)","(17, 2)","(17, 4)","(17, 7)"
17,"(18, 4)","(18, 2)","(18, 4)","(18, 7)"
18,"(19, 1)","(19, 2)","(19, 1)","(19, 7)"
19,"(20, 4)","(20, -1)","(20, 1)","(20, 4)"
