,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 5)","(5, 20)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 13)","(8, 13)","(8, 20)","(8, 13)"
8,"(9, 16)","(9, 13)","(9, 13)","(9, 13)"
9,"(10, 16)","(10, 13)","(10, 13)","(10, 16)"
10,"(11, 16)","(11, 6)","(11, 13)","(11, 16)"
11,"(12, 13)","(12, 9)","(12, 6)","(12, 16)"
12,"(13, 13)","(13, 12)","(13, 6)","(13, 13)"
13,"(14, 13)","(14, 15)","(14, 6)","(14, 16)"
14,"(15, 10)","(15, 15)","(15, -1)","(15, 16)"
15,"(16, 10)","(16, 15)","(16, -1)","(16, 16)"
16,"(17, 10)","(17, 12)","(17, 2)","(17, 13)"
17,"(18, 7)","(18, 12)","(18, 2)","(18, 13)"
18,"(19, 7)","(19, 12)","(19, 2)","(19, 13)"
19,"(20, 7)","(20, 15)","(20, 5)","(20, 10)"
20,,,"(21, 5)",
21,,,"(22, 8)",
22,,,"(23, 11)",
23,,,"(24, 11)",
24,,,"(25, 11)",
