,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 20)","(5, 5)","(5, 20)"
5,"(6, 5)","(6, 20)","(6, 5)","(6, 20)"
6,"(7, 20)","(7, 35)","(7, -2)","(7, 20)"
7,"(8, 20)","(8, 35)","(8, 1)","(8, 13)"
8,"(9, 20)","(9, 35)","(9, 4)","(9, 13)"
9,"(10, 13)","(10, 28)","(10, 7)","(10, 13)"
10,"(11, 13)","(11, 28)","(11, 7)","(11, 6)"
11,"(12, 13)","(12, 28)","(12, 10)","(12, 9)"
12,"(13, 6)","(13, 21)","(13, 10)","(13, 9)"
13,"(14, 6)","(14, 21)","(14, 10)","(14, 9)"
14,"(15, 6)","(15, 21)","(15, 7)","(15, 12)"
15,"(16, -1)","(16, 14)","(16, 7)","(16, 12)"
16,"(17, -1)","(17, 14)","(17, 10)","(17, 12)"
17,"(18, 2)","(18, 14)","(18, 13)","(18, 9)"
18,"(19, 5)","(19, 7)","(19, 16)","(19, 9)"
19,"(20, 5)","(20, 10)","(20, 16)","(20, 9)"
20,"(21, 5)","(21, 13)",,
21,,"(22, 16)",,
22,,"(23, 19)",,
23,,"(24, 22)",,
24,,"(25, 22)",,
25,,"(26, 22)",,
