,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, 5)","(6, 20)","(6, 20)","(6, 5)"
6,"(7, -2)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 1)","(8, 20)","(8, 20)","(8, 20)"
8,"(9, 4)","(9, 13)","(9, 13)","(9, 20)"
9,"(10, 4)","(10, 13)","(10, 13)","(10, 13)"
10,"(11, 7)","(11, 13)","(11, 13)","(11, 13)"
11,"(12, 7)","(12, 6)","(12, 6)","(12, 13)"
12,"(13, 10)","(13, 6)","(13, 6)","(13, 6)"
13,"(14, 13)","(14, 6)","(14, 6)","(14, 6)"
14,"(15, 13)","(15, 9)","(15, 9)","(15, 6)"
15,"(16, 13)","(16, 9)","(16, 9)","(16, -1)"
16,"(17, 10)","(17, 12)","(17, 9)","(17, -1)"
17,"(18, 13)","(18, 12)","(18, 6)","(18, -1)"
18,"(19, 13)","(19, 12)","(19, 9)","(19, -8)"
19,"(20, 13)","(20, 9)","(20, 9)","(20, -5)"
20,,,,"(21, -2)"
21,,,,"(22, -2)"
22,,,,"(23, -2)"
23,,,,"(24, 1)"
24,,,,"(25, 1)"
25,,,,"(26, 1)"
