,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 80)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 65)","(3, 35)"
3,"(4, 5)","(4, 5)","(4, 65)","(4, 35)"
4,"(5, 5)","(5, 20)","(5, 65)","(5, 35)"
5,"(6, 20)","(6, 20)","(6, 50)","(6, 28)"
6,"(7, 20)","(7, 20)","(7, 50)","(7, 28)"
7,"(8, 20)","(8, 13)","(8, 50)","(8, 31)"
8,"(9, 13)","(9, 13)","(9, 35)","(9, 31)"
9,"(10, 13)","(10, 13)","(10, 35)","(10, 31)"
10,"(11, 13)","(11, 6)","(11, 42)","(11, 28)"
11,"(12, 6)","(12, 6)","(12, 42)","(12, 28)"
12,"(13, 6)","(13, 6)","(13, 42)","(13, 28)"
13,"(14, 6)","(14, -1)","(14, 39)","(14, 25)"
14,"(15, -1)","(15, -1)","(15, 39)","(15, 25)"
15,"(16, 2)","(16, -1)","(16, 42)","(16, 25)"
16,"(17, 2)","(17, 2)","(17, 42)","(17, 28)"
17,"(18, 2)","(18, 2)","(18, 42)","(18, 28)"
18,"(19, -1)","(19, 5)","(19, 39)","(19, 28)"
19,"(20, 2)","(20, 5)","(20, 39)","(20, 25)"
20,,"(21, 5)",,
21,,"(22, 8)",,
22,,"(23, 8)",,
23,,"(24, 8)",,
