,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, -40)","(4, 5)","(4, -40)","(4, 5)"
4,"(5, -25)","(5, 5)","(5, -25)","(5, 5)"
5,"(6, -10)","(6, 5)","(6, -10)","(6, 5)"
6,"(7, 5)","(7, -2)","(7, 5)","(7, 20)"
7,"(8, 20)","(8, 1)","(8, 5)","(8, 20)"
8,"(9, 20)","(9, 1)","(9, 20)","(9, 20)"
9,"(10, 20)","(10, 1)","(10, 20)","(10, 13)"
10,"(11, 13)","(11, -2)","(11, 20)","(11, 16)"
11,"(12, 13)","(12, 1)","(12, 13)","(12, 16)"
12,"(13, 13)","(13, 1)","(13, 13)","(13, 16)"
13,"(14, 6)","(14, 1)","(14, 13)","(14, 13)"
14,"(15, 9)","(15, -2)","(15, 6)","(15, 13)"
15,"(16, 12)","(16, 1)","(16, 9)","(16, 16)"
16,"(17, 15)","(17, 1)","(17, 12)","(17, 16)"
17,"(18, 15)","(18, 1)","(18, 15)","(18, 16)"
18,"(19, 18)","(19, 4)","(19, 18)","(19, 19)"
19,"(20, 21)","(20, 4)","(20, 18)","(20, 19)"
20,"(21, 21)",,"(21, 18)",
21,"(22, 21)",,"(22, 21)",
22,,,"(23, 21)",
23,,,"(24, 21)",
