,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 5)","(5, 5)"
5,"(6, 20)","(6, 20)","(6, 5)","(6, 5)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, -2)"
7,"(8, 13)","(8, 13)","(8, 20)","(8, -2)"
8,"(9, 13)","(9, 13)","(9, 20)","(9, 1)"
9,"(10, 16)","(10, 13)","(10, 13)","(10, 4)"
10,"(11, 16)","(11, 6)","(11, 13)","(11, 7)"
11,"(12, 16)","(12, 6)","(12, 13)","(12, 10)"
12,"(13, 13)","(13, 9)","(13, 6)","(13, 13)"
13,"(14, 13)","(14, 9)","(14, 9)","(14, 13)"
14,"(15, 13)","(15, 9)","(15, 12)","(15, 13)"
15,"(16, 10)","(16, 12)","(16, 12)","(16, 10)"
16,"(17, 13)","(17, 12)","(17, 12)","(17, 10)"
17,"(18, 13)","(18, 12)","(18, 9)","(18, 10)"
18,"(19, 13)","(19, 9)","(19, 12)","(19, 7)"
19,"(20, 10)","(20, 9)","(20, 15)","(20, 7)"
