,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, -40)"
4,"(5, 20)","(5, 20)","(5, 20)","(5, -25)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, -10)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 5)"
7,"(8, 13)","(8, 13)","(8, 13)","(8, 5)"
8,"(9, 16)","(9, 16)","(9, 13)","(9, 5)"
9,"(10, 16)","(10, 16)","(10, 16)","(10, -2)"
10,"(11, 19)","(11, 16)","(11, 19)","(11, -2)"
11,"(12, 19)","(12, 19)","(12, 19)","(12, -2)"
12,"(13, 19)","(13, 19)","(13, 19)","(13, -9)"
13,"(14, 16)","(14, 19)","(14, 16)","(14, -6)"
14,"(15, 16)","(15, 16)","(15, 16)","(15, -6)"
15,"(16, 16)","(16, 16)","(16, 16)","(16, -6)"
16,"(17, 19)","(17, 16)","(17, 13)","(17, -9)"
17,"(18, 19)","(18, 13)","(18, 13)","(18, -9)"
18,"(19, 19)","(19, 13)","(19, 13)","(19, -6)"
19,"(20, 16)","(20, 13)","(20, 10)","(20, -6)"
