,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 20)","(5, 5)"
5,"(6, 20)","(6, 5)","(6, 20)","(6, 5)"
6,"(7, 20)","(7, -2)","(7, 20)","(7, -2)"
7,"(8, 13)","(8, 1)","(8, 13)","(8, -2)"
8,"(9, 16)","(9, 4)","(9, 13)","(9, -2)"
9,"(10, 19)","(10, 4)","(10, 13)","(10, -9)"
10,"(11, 19)","(11, 4)","(11, 6)","(11, -6)"
11,"(12, 19)","(12, 1)","(12, 9)","(12, -3)"
12,"(13, 16)","(13, 1)","(13, 9)","(13, 0)"
13,"(14, 16)","(14, 4)","(14, 9)","(14, 0)"
14,"(15, 16)","(15, 4)","(15, 6)","(15, 0)"
15,"(16, 13)","(16, 7)","(16, 6)","(16, -3)"
16,"(17, 16)","(17, 10)","(17, 6)","(17, 0)"
17,"(18, 19)","(18, 10)","(18, 3)","(18, 3)"
18,"(19, 22)","(19, 10)","(19, 3)","(19, 3)"
19,"(20, 22)","(20, 7)","(20, 3)","(20, 3)"
