,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, 35)"
3,"(4, 5)","(4, 5)","(4, 35)","(4, 50)"
4,"(5, 20)","(5, 5)","(5, 50)","(5, 65)"
5,"(6, 20)","(6, 5)","(6, 50)","(6, 65)"
6,"(7, 20)","(7, -2)","(7, 65)","(7, 65)"
7,"(8, 13)","(8, -2)","(8, 65)","(8, 58)"
8,"(9, 13)","(9, -2)","(9, 65)","(9, 61)"
9,"(10, 13)","(10, -9)","(10, 58)","(10, 61)"
10,"(11, 6)","(11, -9)","(11, 61)","(11, 61)"
11,"(12, 6)","(12, -6)","(12, 61)","(12, 58)"
12,"(13, 6)","(13, -6)","(13, 61)","(13, 58)"
13,"(14, -1)","(14, -3)","(14, 58)","(14, 61)"
14,"(15, 2)","(15, 0)","(15, 58)","(15, 61)"
15,"(16, 2)","(16, 0)","(16, 58)","(16, 64)"
16,"(17, 2)","(17, 3)","(17, 55)","(17, 64)"
17,"(18, -1)","(18, 3)","(18, 55)","(18, 64)"
18,"(19, -1)","(19, 3)","(19, 55)","(19, 61)"
19,"(20, 2)","(20, 6)","(20, 58)","(20, 61)"
20,,"(21, 6)",,
21,,"(22, 6)",,
