,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, -40)"
4,"(5, 5)","(5, 5)","(5, 5)","(5, -25)"
5,"(6, 5)","(6, 5)","(6, 5)","(6, -10)"
6,"(7, -2)","(7, -2)","(7, -2)","(7, -10)"
7,"(8, 1)","(8, -2)","(8, -2)","(8, 5)"
8,"(9, 1)","(9, -2)","(9, -2)","(9, 5)"
9,"(10, 1)","(10, -9)","(10, -9)","(10, 5)"
10,"(11, 4)","(11, -6)","(11, -9)","(11, -2)"
11,"(12, 4)","(12, -6)","(12, -6)","(12, -2)"
12,"(13, 4)","(13, -6)","(13, -3)","(13, -2)"
13,"(14, 1)","(14, -9)","(14, -3)","(14, -9)"
14,"(15, 1)","(15, -9)","(15, -3)","(15, -6)"
15,"(16, 1)","(16, -9)","(16, -6)","(16, -6)"
16,"(17, 4)","(17, -12)","(17, -3)","(17, -6)"
17,"(18, 4)","(18, -9)","(18, -3)","(18, -9)"
18,"(19, 4)","(19, -9)","(19, -3)","(19, -9)"
19,"(20, 1)","(20, -6)","(20, -6)","(20, -9)"
