,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, -10)"
3,"(4, -40)","(4, -40)","(4, 50)","(4, 5)"
4,"(5, -25)","(5, -25)","(5, 65)","(5, 20)"
5,"(6, -10)","(6, -10)","(6, 65)","(6, 35)"
6,"(7, 5)","(7, 5)","(7, 65)","(7, 35)"
7,"(8, 20)","(8, 5)","(8, 58)","(8, 35)"
8,"(9, 20)","(9, 5)","(9, 58)","(9, 28)"
9,"(10, 20)","(10, 20)","(10, 58)","(10, 28)"
10,"(11, 13)","(11, 20)","(11, 51)","(11, 31)"
11,"(12, 13)","(12, 20)","(12, 51)","(12, 31)"
12,"(13, 13)","(13, 13)","(13, 51)","(13, 31)"
13,"(14, 6)","(14, 13)","(14, 44)","(14, 28)"
14,"(15, 9)","(15, 13)","(15, 47)","(15, 28)"
15,"(16, 12)","(16, 6)","(16, 50)","(16, 28)"
16,"(17, 12)","(17, 6)","(17, 53)","(17, 31)"
17,"(18, 15)","(18, 6)","(18, 56)","(18, 31)"
18,"(19, 15)","(19, -1)","(19, 59)","(19, 31)"
19,"(20, 15)","(20, -1)","(20, 59)","(20, 28)"
20,,"(21, -1)","(21, 59)",
21,,"(22, 2)",,
22,,"(23, 5)",,
23,,"(24, 5)",,
24,,"(25, 5)",,
