,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 20)","(5, 5)"
5,"(6, 20)","(6, 5)","(6, 35)","(6, 5)"
6,"(7, 20)","(7, 20)","(7, 35)","(7, -2)"
7,"(8, 13)","(8, 20)","(8, 35)","(8, -2)"
8,"(9, 16)","(9, 20)","(9, 28)","(9, -2)"
9,"(10, 16)","(10, 13)","(10, 28)","(10, -9)"
10,"(11, 16)","(11, 13)","(11, 28)","(11, -6)"
11,"(12, 13)","(12, 13)","(12, 21)","(12, -6)"
12,"(13, 13)","(13, 6)","(13, 24)","(13, -3)"
13,"(14, 13)","(14, 6)","(14, 24)","(14, -3)"
14,"(15, 10)","(15, 6)","(15, 27)","(15, 0)"
15,"(16, 10)","(16, -1)","(16, 27)","(16, 3)"
16,"(17, 10)","(17, 2)","(17, 27)","(17, 3)"
17,"(18, 7)","(18, 5)","(18, 24)","(18, 3)"
18,"(19, 7)","(19, 8)","(19, 27)","(19, 6)"
19,"(20, 7)","(20, 8)","(20, 27)","(20, 9)"
20,,"(21, 8)",,"(21, 9)"
21,,,,"(22, 9)"
22,,,,"(23, 12)"
23,,,,"(24, 12)"
24,,,,"(25, 12)"
