,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 50)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 65)","(5, 5)"
5,"(6, 20)","(6, 5)","(6, 65)","(6, 5)"
6,"(7, 20)","(7, -2)","(7, 65)","(7, 20)"
7,"(8, 13)","(8, -2)","(8, 58)","(8, 35)"
8,"(9, 13)","(9, -2)","(9, 58)","(9, 35)"
9,"(10, 13)","(10, -9)","(10, 58)","(10, 35)"
10,"(11, 6)","(11, -6)","(11, 51)","(11, 28)"
11,"(12, 6)","(12, -3)","(12, 51)","(12, 28)"
12,"(13, 6)","(13, -3)","(13, 51)","(13, 31)"
13,"(14, -1)","(14, -3)","(14, 44)","(14, 31)"
14,"(15, -1)","(15, 0)","(15, 44)","(15, 31)"
15,"(16, 2)","(16, 3)","(16, 44)","(16, 28)"
16,"(17, 2)","(17, 6)","(17, 37)","(17, 28)"
17,"(18, 2)","(18, 6)","(18, 37)","(18, 28)"
18,"(19, -1)","(19, 9)","(19, 40)","(19, 25)"
19,"(20, 2)","(20, 12)","(20, 43)","(20, 28)"
20,,"(21, 12)","(21, 43)",
21,,"(22, 12)","(22, 43)",
