,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, -40)","(4, -40)"
4,"(5, 5)","(5, 5)","(5, -25)","(5, -25)"
5,"(6, 5)","(6, 5)","(6, -10)","(6, -10)"
6,"(7, -2)","(7, -2)","(7, -10)","(7, -10)"
7,"(8, -2)","(8, -2)","(8, -10)","(8, -10)"
8,"(9, -2)","(9, -2)","(9, -17)","(9, -17)"
9,"(10, -9)","(10, -9)","(10, -14)","(10, -14)"
10,"(11, -6)","(11, -6)","(11, -14)","(11, -14)"
11,"(12, -3)","(12, -3)","(12, -14)","(12, -14)"
12,"(13, 0)","(13, -3)","(13, -17)","(13, -17)"
13,"(14, 3)","(14, -3)","(14, -14)","(14, -17)"
14,"(15, 3)","(15, -6)","(15, -11)","(15, -17)"
15,"(16, 3)","(16, -3)","(16, -8)","(16, -14)"
16,"(17, 0)","(17, -3)","(17, -8)","(17, -14)"
17,"(18, 0)","(18, -3)","(18, -8)","(18, -14)"
18,"(19, 0)","(19, -6)","(19, -11)","(19, -11)"
19,"(20, -3)","(20, -3)","(20, -11)","(20, -11)"
