,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, -40)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, -25)","(5, 5)","(5, 20)","(5, 5)"
5,"(6, -10)","(6, 20)","(6, 20)","(6, 5)"
6,"(7, -10)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, -10)","(8, 20)","(8, 13)","(8, 20)"
8,"(9, -17)","(9, 13)","(9, 16)","(9, 20)"
9,"(10, -14)","(10, 13)","(10, 16)","(10, 13)"
10,"(11, -11)","(11, 13)","(11, 16)","(11, 13)"
11,"(12, -11)","(12, 6)","(12, 13)","(12, 13)"
12,"(13, -8)","(13, 6)","(13, 13)","(13, 6)"
13,"(14, -8)","(14, 6)","(14, 13)","(14, 6)"
14,"(15, -8)","(15, -1)","(15, 10)","(15, 6)"
15,"(16, -5)","(16, 2)","(16, 10)","(16, -1)"
16,"(17, -5)","(17, 5)","(17, 13)","(17, 2)"
17,"(18, -5)","(18, 5)","(18, 13)","(18, 2)"
18,"(19, -8)","(19, 5)","(19, 16)","(19, 2)"
19,"(20, -8)","(20, 2)","(20, 16)","(20, -1)"
