,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, 35)","(3, 35)","(3, -10)","(3, -10)"
3,"(4, 35)","(4, 50)","(4, 5)","(4, 5)"
4,"(5, 35)","(5, 50)","(5, 20)","(5, 5)"
5,"(6, 28)","(6, 50)","(6, 20)","(6, 20)"
6,"(7, 28)","(7, 43)","(7, 20)","(7, 20)"
7,"(8, 28)","(8, 43)","(8, 13)","(8, 20)"
8,"(9, 21)","(9, 43)","(9, 13)","(9, 13)"
9,"(10, 21)","(10, 36)","(10, 13)","(10, 13)"
10,"(11, 21)","(11, 36)","(11, 6)","(11, 13)"
11,"(12, 14)","(12, 36)","(12, 6)","(12, 6)"
12,"(13, 17)","(13, 29)","(13, 9)","(13, 6)"
13,"(14, 17)","(14, 29)","(14, 12)","(14, 6)"
14,"(15, 17)","(15, 29)","(15, 12)","(15, -1)"
15,"(16, 14)","(16, 22)","(16, 12)","(16, 2)"
16,"(17, 14)","(17, 22)","(17, 9)","(17, 5)"
17,"(18, 14)","(18, 22)","(18, 9)","(18, 5)"
18,"(19, 11)","(19, 15)","(19, 12)","(19, 5)"
19,"(20, 11)","(20, 15)","(20, 15)","(20, 2)"
20,,"(21, 15)",,
21,,"(22, 8)",,
22,,"(23, 8)",,
23,,"(24, 11)",,
24,,"(25, 11)",,
25,,"(26, 14)",,
26,,"(27, 14)",,
27,,"(28, 14)",,
