,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, 35)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 35)"
4,"(5, 20)","(5, 20)","(5, 20)","(5, 35)"
5,"(6, 35)","(6, 20)","(6, 20)","(6, 28)"
6,"(7, 35)","(7, 20)","(7, 20)","(7, 28)"
7,"(8, 35)","(8, 13)","(8, 13)","(8, 28)"
8,"(9, 28)","(9, 13)","(9, 13)","(9, 21)"
9,"(10, 28)","(10, 16)","(10, 13)","(10, 24)"
10,"(11, 28)","(11, 16)","(11, 6)","(11, 27)"
11,"(12, 21)","(12, 16)","(12, 6)","(12, 27)"
12,"(13, 21)","(13, 13)","(13, 6)","(13, 27)"
13,"(14, 21)","(14, 13)","(14, 9)","(14, 24)"
14,"(15, 14)","(15, 13)","(15, 9)","(15, 24)"
15,"(16, 17)","(16, 10)","(16, 9)","(16, 24)"
16,"(17, 17)","(17, 13)","(17, 6)","(17, 21)"
17,"(18, 17)","(18, 13)","(18, 9)","(18, 21)"
18,"(19, 14)","(19, 13)","(19, 9)","(19, 21)"
19,"(20, 14)","(20, 10)","(20, 9)","(20, 18)"
