,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 35)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 35)","(5, 5)"
5,"(6, 5)","(6, 20)","(6, 28)","(6, 5)"
6,"(7, -2)","(7, 20)","(7, 28)","(7, -2)"
7,"(8, 1)","(8, 20)","(8, 28)","(8, 1)"
8,"(9, 1)","(9, 13)","(9, 21)","(9, 4)"
9,"(10, 4)","(10, 13)","(10, 21)","(10, 4)"
10,"(11, 4)","(11, 13)","(11, 24)","(11, 4)"
11,"(12, 7)","(12, 6)","(12, 24)","(12, 1)"
12,"(13, 7)","(13, 6)","(13, 27)","(13, 4)"
13,"(14, 7)","(14, 6)","(14, 27)","(14, 4)"
14,"(15, 10)","(15, 9)","(15, 27)","(15, 4)"
15,"(16, 10)","(16, 9)","(16, 24)","(16, 1)"
16,"(17, 10)","(17, 9)","(17, 24)","(17, 4)"
17,"(18, 7)","(18, 6)","(18, 24)","(18, 4)"
18,"(19, 10)","(19, 6)","(19, 21)","(19, 4)"
19,"(20, 10)","(20, 6)","(20, 21)","(20, 1)"
