,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, -40)","(4, -40)","(4, -40)","(4, -40)"
4,"(5, -25)","(5, -25)","(5, -25)","(5, -25)"
5,"(6, -10)","(6, -10)","(6, -25)","(6, -10)"
6,"(7, -10)","(7, -10)","(7, -10)","(7, 5)"
7,"(8, 5)","(8, -10)","(8, -10)","(8, 5)"
8,"(9, 5)","(9, -17)","(9, -10)","(9, 20)"
9,"(10, 5)","(10, -14)","(10, -17)","(10, 20)"
10,"(11, -2)","(11, -11)","(11, -14)","(11, 20)"
11,"(12, -2)","(12, -11)","(12, -14)","(12, 13)"
12,"(13, -2)","(13, -11)","(13, -14)","(13, 16)"
13,"(14, -9)","(14, -8)","(14, -17)","(14, 16)"
14,"(15, -9)","(15, -5)","(15, -17)","(15, 16)"
15,"(16, -6)","(16, -5)","(16, -17)","(16, 13)"
16,"(17, -3)","(17, -5)","(17, -20)","(17, 13)"
17,"(18, 0)","(18, -8)","(18, -17)","(18, 13)"
18,"(19, 0)","(19, -8)","(19, -17)","(19, 10)"
19,"(20, 0)","(20, -8)","(20, -17)","(20, 10)"
