,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 20)","(5, 20)","(5, 5)"
5,"(6, 5)","(6, 20)","(6, 20)","(6, 5)"
6,"(7, -2)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 1)","(8, 13)","(8, 13)","(8, 20)"
8,"(9, 4)","(9, 16)","(9, 13)","(9, 20)"
9,"(10, 4)","(10, 19)","(10, 13)","(10, 13)"
10,"(11, 4)","(11, 19)","(11, 6)","(11, 13)"
11,"(12, 1)","(12, 19)","(12, 9)","(12, 13)"
12,"(13, 1)","(13, 16)","(13, 12)","(13, 6)"
13,"(14, 4)","(14, 19)","(14, 15)","(14, 9)"
14,"(15, 7)","(15, 19)","(15, 15)","(15, 9)"
15,"(16, 7)","(16, 19)","(16, 15)","(16, 9)"
16,"(17, 7)","(17, 16)","(17, 12)","(17, 6)"
17,"(18, 4)","(18, 16)","(18, 15)","(18, 6)"
18,"(19, 4)","(19, 16)","(19, 15)","(19, 6)"
19,"(20, 4)","(20, 13)","(20, 15)","(20, 3)"
