,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, -40)","(4, -40)"
4,"(5, 20)","(5, 20)","(5, -25)","(5, -25)"
5,"(6, 20)","(6, 20)","(6, -10)","(6, -10)"
6,"(7, 20)","(7, 20)","(7, 5)","(7, 5)"
7,"(8, 13)","(8, 13)","(8, 5)","(8, 5)"
8,"(9, 16)","(9, 13)","(9, 5)","(9, 5)"
9,"(10, 19)","(10, 13)","(10, -2)","(10, -2)"
10,"(11, 19)","(11, 6)","(11, -2)","(11, -2)"
11,"(12, 19)","(12, 9)","(12, 1)","(12, -2)"
12,"(13, 16)","(13, 9)","(13, 4)","(13, -9)"
13,"(14, 19)","(14, 9)","(14, 4)","(14, -6)"
14,"(15, 19)","(15, 6)","(15, 4)","(15, -3)"
15,"(16, 22)","(16, 9)","(16, 1)","(16, -3)"
16,"(17, 22)","(17, 12)","(17, 4)","(17, 0)"
17,"(18, 22)","(18, 12)","(18, 7)","(18, 3)"
18,"(19, 19)","(19, 12)","(19, 7)","(19, 3)"
19,"(20, 19)","(20, 9)","(20, 7)","(20, 3)"
