,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, -40)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, -25)","(5, 5)","(5, 5)","(5, 5)"
5,"(6, -10)","(6, 5)","(6, 5)","(6, 5)"
6,"(7, 5)","(7, -2)","(7, -2)","(7, -2)"
7,"(8, 20)","(8, -2)","(8, -2)","(8, -2)"
8,"(9, 20)","(9, -2)","(9, -2)","(9, -2)"
9,"(10, 20)","(10, -9)","(10, -9)","(10, 1)"
10,"(11, 13)","(11, -6)","(11, -9)","(11, 1)"
11,"(12, 13)","(12, -3)","(12, -9)","(12, 4)"
12,"(13, 13)","(13, -3)","(13, -16)","(13, 4)"
13,"(14, 6)","(14, -3)","(14, -13)","(14, 7)"
14,"(15, 6)","(15, -6)","(15, -10)","(15, 7)"
15,"(16, 9)","(16, -6)","(16, -10)","(16, 7)"
16,"(17, 9)","(17, -6)","(17, -10)","(17, 4)"
17,"(18, 9)","(18, -3)","(18, -13)","(18, 4)"
18,"(19, 6)","(19, -3)","(19, -10)","(19, 4)"
19,"(20, 9)","(20, -3)","(20, -7)","(20, 1)"
