,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 35)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 35)","(5, 20)"
5,"(6, 20)","(6, 20)","(6, 28)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 28)","(7, 20)"
7,"(8, 13)","(8, 13)","(8, 28)","(8, 13)"
8,"(9, 13)","(9, 13)","(9, 21)","(9, 16)"
9,"(10, 13)","(10, 13)","(10, 21)","(10, 16)"
10,"(11, 6)","(11, 6)","(11, 21)","(11, 16)"
11,"(12, 9)","(12, 6)","(12, 14)","(12, 13)"
12,"(13, 9)","(13, 6)","(13, 14)","(13, 13)"
13,"(14, 12)","(14, -1)","(14, 14)","(14, 16)"
14,"(15, 12)","(15, 2)","(15, 7)","(15, 16)"
15,"(16, 12)","(16, 5)","(16, 10)","(16, 16)"
16,"(17, 9)","(17, 8)","(17, 10)","(17, 13)"
17,"(18, 12)","(18, 8)","(18, 10)","(18, 13)"
18,"(19, 12)","(19, 8)","(19, 13)","(19, 13)"
19,"(20, 12)","(20, 5)","(20, 13)","(20, 10)"
20,,,"(21, 13)",
