,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 35)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 35)","(5, 20)"
5,"(6, 20)","(6, 20)","(6, 28)","(6, 20)"
6,"(7, 35)","(7, 20)","(7, 28)","(7, 20)"
7,"(8, 35)","(8, 13)","(8, 28)","(8, 13)"
8,"(9, 35)","(9, 13)","(9, 21)","(9, 16)"
9,"(10, 28)","(10, 13)","(10, 21)","(10, 16)"
10,"(11, 28)","(11, 6)","(11, 21)","(11, 16)"
11,"(12, 28)","(12, 9)","(12, 14)","(12, 13)"
12,"(13, 21)","(13, 12)","(13, 17)","(13, 16)"
13,"(14, 21)","(14, 15)","(14, 17)","(14, 16)"
14,"(15, 24)","(15, 15)","(15, 17)","(15, 16)"
15,"(16, 24)","(16, 15)","(16, 14)","(16, 13)"
16,"(17, 24)","(17, 12)","(17, 14)","(17, 13)"
17,"(18, 21)","(18, 15)","(18, 14)","(18, 13)"
18,"(19, 21)","(19, 15)","(19, 11)","(19, 16)"
19,"(20, 21)","(20, 15)","(20, 14)","(20, 16)"
