,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, -40)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, -25)","(5, 5)"
5,"(6, 20)","(6, 20)","(6, -10)","(6, 5)"
6,"(7, 20)","(7, 20)","(7, 5)","(7, -2)"
7,"(8, 13)","(8, 20)","(8, 20)","(8, -2)"
8,"(9, 13)","(9, 13)","(9, 20)","(9, -2)"
9,"(10, 13)","(10, 13)","(10, 20)","(10, -9)"
10,"(11, 6)","(11, 13)","(11, 13)","(11, -6)"
11,"(12, 9)","(12, 6)","(12, 13)","(12, -3)"
12,"(13, 9)","(13, 9)","(13, 13)","(13, 0)"
13,"(14, 9)","(14, 9)","(14, 6)","(14, 3)"
14,"(15, 6)","(15, 9)","(15, 6)","(15, 6)"
15,"(16, 6)","(16, 6)","(16, 6)","(16, 6)"
16,"(17, 9)","(17, 9)","(17, -1)","(17, 6)"
17,"(18, 12)","(18, 9)","(18, 2)","(18, 3)"
18,"(19, 12)","(19, 9)","(19, 5)","(19, 3)"
19,"(20, 12)","(20, 6)","(20, 5)","(20, 3)"
20,,,"(21, 8)",
21,,,"(22, 8)",
22,,,"(23, 8)",
