,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 5)","(5, 20)","(5, 20)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 13)","(8, 20)","(8, 13)","(8, 13)"
8,"(9, 13)","(9, 13)","(9, 16)","(9, 13)"
9,"(10, 13)","(10, 13)","(10, 16)","(10, 13)"
10,"(11, 16)","(11, 13)","(11, 16)","(11, 6)"
11,"(12, 16)","(12, 6)","(12, 13)","(12, 9)"
12,"(13, 16)","(13, 6)","(13, 13)","(13, 12)"
13,"(14, 13)","(14, 6)","(14, 13)","(14, 12)"
14,"(15, 13)","(15, -1)","(15, 16)","(15, 12)"
15,"(16, 16)","(16, 2)","(16, 16)","(16, 9)"
16,"(17, 16)","(17, 5)","(17, 16)","(17, 9)"
17,"(18, 16)","(18, 5)","(18, 13)","(18, 9)"
18,"(19, 13)","(19, 5)","(19, 13)","(19, 6)"
19,"(20, 16)","(20, 2)","(20, 13)","(20, 6)"
