,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 20)","(5, 20)","(5, 20)"
5,"(6, 20)","(6, 20)","(6, 20)","(6, 20)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 20)","(8, 13)","(8, 13)","(8, 13)"
8,"(9, 13)","(9, 13)","(9, 13)","(9, 16)"
9,"(10, 13)","(10, 16)","(10, 13)","(10, 19)"
10,"(11, 13)","(11, 19)","(11, 16)","(11, 22)"
11,"(12, 6)","(12, 22)","(12, 16)","(12, 22)"
12,"(13, 6)","(13, 22)","(13, 16)","(13, 22)"
13,"(14, 6)","(14, 22)","(14, 13)","(14, 19)"
14,"(15, -1)","(15, 19)","(15, 13)","(15, 19)"
15,"(16, -1)","(16, 22)","(16, 13)","(16, 19)"
16,"(17, -1)","(17, 25)","(17, 10)","(17, 16)"
17,"(18, 2)","(18, 25)","(18, 13)","(18, 16)"
18,"(19, 2)","(19, 25)","(19, 16)","(19, 19)"
19,"(20, 2)","(20, 22)","(20, 16)","(20, 22)"
20,"(21, 5)",,,
21,"(22, 5)",,,
22,"(23, 5)",,,
