,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 5)","(5, 5)","(5, 20)","(5, 5)"
5,"(6, 5)","(6, 5)","(6, 20)","(6, 20)"
6,"(7, -2)","(7, 20)","(7, 20)","(7, 20)"
7,"(8, 1)","(8, 20)","(8, 13)","(8, 20)"
8,"(9, 1)","(9, 20)","(9, 13)","(9, 13)"
9,"(10, 1)","(10, 13)","(10, 16)","(10, 13)"
10,"(11, -2)","(11, 13)","(11, 19)","(11, 13)"
11,"(12, 1)","(12, 13)","(12, 19)","(12, 6)"
12,"(13, 4)","(13, 6)","(13, 22)","(13, 9)"
13,"(14, 4)","(14, 6)","(14, 22)","(14, 9)"
14,"(15, 7)","(15, 6)","(15, 25)","(15, 9)"
15,"(16, 10)","(16, -1)","(16, 28)","(16, 6)"
16,"(17, 10)","(17, 2)","(17, 28)","(17, 6)"
17,"(18, 10)","(18, 5)","(18, 28)","(18, 6)"
18,"(19, 7)","(19, 5)","(19, 25)","(19, 3)"
19,"(20, 7)","(20, 5)","(20, 25)","(20, 6)"
