,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 5)","(4, 5)"
4,"(5, 20)","(5, 20)","(5, 5)","(5, 5)"
5,"(6, 20)","(6, 20)","(6, 5)","(6, 5)"
6,"(7, 20)","(7, 20)","(7, 20)","(7, -2)"
7,"(8, 13)","(8, 35)","(8, 20)","(8, 1)"
8,"(9, 16)","(9, 35)","(9, 20)","(9, 4)"
9,"(10, 16)","(10, 35)","(10, 13)","(10, 7)"
10,"(11, 16)","(11, 28)","(11, 13)","(11, 7)"
11,"(12, 19)","(12, 28)","(12, 13)","(12, 10)"
12,"(13, 19)","(13, 28)","(13, 6)","(13, 10)"
13,"(14, 19)","(14, 21)","(14, 6)","(14, 10)"
14,"(15, 16)","(15, 21)","(15, 6)","(15, 13)"
15,"(16, 19)","(16, 21)","(16, -1)","(16, 13)"
16,"(17, 19)","(17, 14)","(17, 2)","(17, 16)"
17,"(18, 19)","(18, 14)","(18, 2)","(18, 16)"
18,"(19, 16)","(19, 14)","(19, 2)","(19, 16)"
19,"(20, 16)","(20, 7)","(20, 5)","(20, 13)"
20,,"(21, 10)","(21, 5)",
21,,"(22, 10)","(22, 8)",
22,,"(23, 13)","(23, 8)",
23,,"(24, 13)","(24, 11)",
24,,"(25, 13)","(25, 11)",
25,,,"(26, 11)",
