,118.11,134.54,150.96,167.39,183.81,200.23,216.66,233.08,249.51,265.93,282.36,298.78,315.21,331.63,348.06
115.05,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.8,0.9,1.0,1.0,0.9,1.0,1.0,0.9
96.6,1.0,1.0,1.0,1.0,0.8,0.1,0.3,0.8,1.0,1.0,1.0,1.0,1.0,0.9,1.0
78.16,0.9,0.9,1.0,0.8,0.1,0.0,0.0,0.4,0.8,1.0,1.0,0.9,1.0,1.0,1.0
59.72,0.9,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.9,1.0,1.0
41.27,1.0,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,1.0,1.0,0.9
22.83,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0
4.38,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.9
-14.06,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0
-32.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0
-50.95,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.9
-69.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6,1.0
-87.83,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-106.28,1.0,1.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0
-124.72,1.0,0.9,1.0,0.9,0.6,0.3,0.0,0.1,0.1,0.2,0.3,0.4,1.0,1.0,1.0
-143.17,0.9,1.0,1.0,1.0,1.0,1.0,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
