,frameN,routine_time,global_time,gaze,good_fixation,button,stimulus_display,recorded_response
0,0,1.1311515843847246,82.77021553785926,"[-302.0, -12.899993896484318]",True,None,False,None
1,1,1.1453122558764335,82.7844008470563,"[-303.0, -13.20001220703125]",True,None,False,None
2,2,1.156940651973855,82.79600370406888,"[-304.1000061035156, -13.600006103515682]",True,None,False,None
3,3,1.1686997480944683,82.80776310064925,"[-303.8999938964844, -14.899993896484432]",True,None,False,None
4,4,1.1804621492733531,82.8195258022879,"[-302.5, -14.899993896484432]",True,None,False,None
5,5,1.1922215458537266,82.83128459794875,"[-303.20001220703125, -15.0]",True,None,False,None
6,6,1.2039881534701635,82.84305150602495,"[-302.79998779296875, -12.899993896484318]",True,None,False,None
7,7,1.2157427426934646,82.85480579478849,"[-301.8999938964844, -13.999999999999943]",True,None,False,None
8,8,1.2275114535284501,82.86657480608324,"[-304.29998779296875, -14.5]",True,None,False,None
9,9,1.2392546252785905,82.87831767737362,"[-304.20001220703125, -14.200012207031193]",True,None,False,None
10,10,1.2510164255377276,82.89007977809251,"[-303.79998779296875, -13.999999999999943]",True,None,False,None
11,11,1.2628001593639055,82.90186321145893,"[-303.3999938964844, -14.600006103515625]",True,None,False,None
12,12,1.2745823908910552,82.91364544298608,"[-301.5, -16.100006103515625]",True,None,False,None
13,13,1.2863486980475045,82.92541175014253,"[-303.3999938964844, -16.600006103515625]",True,None,False,None
14,14,1.298072339908913,82.93713539200394,"[-303.70001220703125, -16.399993896484318]",True,None,False,None
15,15,1.3098158121188135,82.9488791646736,"[-305.3999938964844, -15.299987792968693]",True,None,False,None
16,16,1.321601949623755,82.96066590309806,"[-302.29998779296875, -17.100006103515682]",True,None,False,None
17,17,1.333327995163927,82.97240727208919,"[-303.1000061035156, -15.100006103515568]",True,None,False,None
18,18,1.3450405200119349,82.98410357210673,"[-302.8999938964844, -16.5]",True,None,False,None
19,19,1.3568506943024659,82.99591374639749,"[-304.5, -15.70001220703125]",True,None,False,None
20,20,1.368574937083622,83.00763798917865,"[-304.3999938964844, -15.100006103515568]",True,None,False,None
21,21,1.3803640791868474,83.01942743174163,"[-303.8999938964844, -15.70001220703125]",True,None,False,None
22,22,1.392140902437177,83.03120545683123,"[-304.6000061035156, -16.100006103515625]",True,None,False,None
23,23,1.403896393039986,83.04296034651429,"[-303.8999938964844, -15.299987792968693]",True,None,False,None
24,24,1.4156768218081197,83.05474167666193,"[-304.8999938964844, -16.100006103515625]",True,None,False,None
25,25,1.4274356174689729,83.06649987140327,"[-304.6000061035156, -15.299987792968693]",True,None,False,None
26,26,1.4391875025539775,83.07825085510876,"[-305.29998779296875, -15.600006103515625]",True,None,False,None
27,27,1.4509258669468181,83.08998891904184,"[-303.1000061035156, -16.79998779296875]",True,None,False,None
28,28,1.4627144081302959,83.10177776068508,"[-303.1000061035156, -15.100006103515568]",True,None,False,None
29,29,1.4744729033311614,83.11353595542619,"[-303.1000061035156, -15.70001220703125]",True,None,False,None
30,30,1.4862052585276615,83.12526831062269,"[-302.79998779296875, -15.20001220703125]",True,None,False,None
31,31,1.4979950015504073,83.13705805364543,"[-303.5, -16.29998779296875]",True,None,False,None
32,32,1.5097568018095444,83.14882015436433,"[-303.6000061035156, -16.70001220703125]",True,None,False,None
33,33,1.5215438406937665,83.16060689278879,"[-303.1000061035156, -15.100006103515568]",True,None,False,None
34,34,1.5333302786584682,83.17240715190542,"[-303.6000061035156, -14.600006103515625]",True,None,False,None
35,35,1.5450434044262238,83.18412147951221,"[-301.70001220703125, -16.600006103515625]",True,None,False,None
36,36,1.5568577851543068,83.1959220390886,"[-301.29998779296875, -15.799987792968807]",True,None,False,None
37,37,1.5686421199002325,83.20770637383453,"[-301.29998779296875, -16.79998779296875]",True,None,False,None
38,38,1.580377179235029,83.21944203408907,"[-301.29998779296875, -17.399993896484375]",True,None,False,None
39,39,1.592118848686141,83.23118310262021,"[-302.29998779296875, -16.600006103515625]",True,None,False,None
40,40,1.6038310730741614,83.24289442562895,"[-302.0, -15.299987792968693]",True,None,False,None
41,41,1.615619313797879,83.25468266635266,"[-302.8999938964844, -15.100006103515568]",True,None,False,None
42,42,1.6273751048604481,83.26643785649571,"[-304.0, -16.200012207031193]",True,None,False,None
43,43,1.6391116664945002,83.2781747185893,"[-301.5, -15.5]",True,None,False,None
44,44,1.650827195940792,83.28989084895534,"[-301.8999938964844, -14.79998779296875]",True,None,False,None
45,45,1.6626223472401307,83.30168539933516,"[-300.1000061035156, -16.399993896484318]",True,None,False,None
46,46,1.674349895079331,83.31341324763434,"[-301.3999938964844, -16.100006103515625]",True,None,False,None
47,47,1.6860978741867712,83.32516092628157,"[-298.5, -13.899993896484375]",True,None,False,None
48,48,1.697921268709706,83.33698462126449,"[-300.5, -13.999999999999943]",True,None,False,None
49,49,1.7097116126519722,83.34877676796577,"[-298.6000061035156, -15.0]",True,None,False,None
50,50,1.7214824267057338,83.36054638018027,"[-299.3999938964844, -14.600006103515625]",True,None,False,None
