,frameN,routine_time,global_time,gaze,good_fixation,button,stimulus_display,recorded_response
0,0,1.1326052052668274,212.2775473365864,"[-311.5, -8.79998779296875]",True,None,False,None
1,1,1.146280252541601,212.29122268430638,"[-309.6000061035156, -8.299987792968807]",True,None,False,None
2,2,1.1577518373701423,212.3026933678002,"[-310.1000061035156, -8.700012207031193]",True,None,False,None
3,3,1.1694460518242522,212.3143875822543,"[-312.3999938964844, -9.5]",True,None,False,None
4,4,1.1811973507974471,212.3261554056935,"[-312.29998779296875, -9.5]",True,None,False,None
5,5,1.1929597662297056,212.33790249843923,"[-314.0, -9.70001220703125]",True,None,False,None
6,6,1.2047372039037327,212.34967933522375,"[-313.70001220703125, -10.600006103515625]",True,None,False,None
7,7,1.2165783358841509,212.36152106809323,"[-313.5, -10.399993896484375]",True,None,False,None
8,8,1.2282956845906483,212.37323811635497,"[-314.0, -9.899993896484375]",True,None,False,None
9,9,1.2400403737774468,212.38498280554177,"[-313.1000061035156, -9.100006103515625]",True,None,False,None
10,10,1.2517616282666495,212.39670436047618,"[-314.5, -10.700012207031307]",True,None,False,None
11,11,1.2635670073109395,212.4085091386305,"[-315.29998779296875, -11.0]",True,None,False,None
12,12,1.2753240147362703,212.4202664465006,"[-313.8999938964844, -8.0]",True,None,False,None
13,13,1.2870533812360918,212.43199491166615,"[-314.5, -10.79998779296875]",True,None,False,None
14,14,1.2988112899956832,212.44375282042574,"[-314.1000061035156, -9.5]",True,None,False,None
15,15,1.3105457640581335,212.4554872944882,"[-313.1000061035156, -6.700012207031193]",True,None,False,None
16,16,1.322335519970693,212.4672773508455,"[-314.8999938964844, -8.20001220703125]",True,None,False,None
17,17,1.3341198678763249,212.47906139830638,"[-314.20001220703125, -8.299987792968807]",True,None,False,None
18,18,1.345891597098671,212.49083432930775,"[-315.5, -9.20001220703125]",True,None,False,None
19,19,1.3576209635984924,212.50256309491851,"[-316.20001220703125, -9.70001220703125]",True,None,False,None
20,20,1.369386083034442,212.514328214354,"[-316.70001220703125, -9.70001220703125]",True,None,False,None
21,21,1.38112205932066,212.52606419064068,"[-318.6000061035156, -9.70001220703125]",True,None,False,None
22,22,1.392859537831555,212.53780106826162,"[-318.70001220703125, -9.29998779296875]",True,None,False,None
23,23,1.4046342715023457,212.54957550148765,"[-317.29998779296875, -9.5]",True,None,False,None
24,24,1.4165192684286012,212.5614604984139,"[-315.79998779296875, -10.100006103515625]",True,None,False,None
25,25,1.4281597032563695,212.5731018345764,"[-316.29998779296875, -9.799987792968693]",True,None,False,None
26,26,1.4399049933331298,212.5848465237632,"[-316.20001220703125, -9.0]",True,None,False,None
27,27,1.4516782247792435,212.59661945476455,"[-314.70001220703125, -8.79998779296875]",True,None,False,None
28,28,1.4634691824712718,212.60841041245658,"[-315.1000061035156, -8.20001220703125]",True,None,False,None
29,29,1.4752000511957704,212.62014188207058,"[-316.3999938964844, -9.20001220703125]",True,None,False,None
30,30,1.4869408345994088,212.63188206458472,"[-315.0, -11.20001220703125]",True,None,False,None
31,31,1.4987035504768755,212.64364478046173,"[-314.79998779296875, -7.899993896484375]",True,None,False,None
32,32,1.5105696193782023,212.65551114980826,"[-316.1000061035156, -7.799987792968693]",True,None,False,None
33,33,1.5223269272482867,212.6672681572336,"[-317.1000061035156, -8.299987792968807]",True,None,False,None
34,34,1.5340337603856824,212.67897529081574,"[-315.29998779296875, -7.100006103515625]",True,None,False,None
35,35,1.5457913687005203,212.69073289913058,"[-316.6000061035156, -6.499999999999943]",True,None,False,None
36,36,1.5575664028160645,212.70250793324612,"[-316.20001220703125, -4.700012207031193]",True,None,False,None
37,37,1.5693255133551247,212.71426704378518,"[-317.29998779296875, -6.79998779296875]",True,None,False,None
38,38,1.5810711038761838,212.7260123338615,"[-317.0, -5.100006103515625]",True,None,False,None
39,39,1.592830214415244,212.7377717448453,"[-317.20001220703125, -3.200012207031307]",True,None,False,None
40,40,1.6046103560929623,212.74955218696823,"[-316.6000061035156, -4.700012207031193]",True,None,False,None
41,41,1.6163610541766502,212.7613025846067,"[-316.79998779296875, -4.79998779296875]",True,None,False,None
42,42,1.6281372900716633,212.77307882050172,"[-316.79998779296875, -5.100006103515625]",True,None,False,None
43,43,1.6398834814826841,212.78482501191274,"[-315.5, -3.000000000000057]",True,None,False,None
44,44,1.6516344800111256,212.79657601044119,"[-316.79998779296875, -2.399993896484375]",True,None,False,None
45,45,1.6634233345889697,212.80836456457428,"[-317.0, -3.600006103515568]",True,None,False,None
46,46,1.6751563064271977,212.82009783685726,"[-317.6000061035156, -4.499999999999943]",True,None,False,None
47,47,1.6869103094040838,212.8318515393894,"[-315.70001220703125, -6.0]",True,None,False,None
48,48,1.6986688190531822,212.8436100490385,"[-317.8999938964844, -5.200012207031307]",True,None,False,None
49,49,1.710510852367861,212.85545208235317,"[-315.20001220703125, -2.899993896484375]",True,None,False,None
50,50,1.7222116766083673,212.86715350748318,"[-317.6000061035156, -2.100006103515682]",True,None,False,None
51,51,1.7339512582329917,212.87889278866305,"[-319.8999938964844, -4.399993896484375]",True,None,False,None
52,52,1.745710969661559,212.89065250009162,"[-318.3999938964844, -3.70001220703125]",True,None,False,None
53,53,1.757488407335586,212.90242993776565,"[-315.5, -5.70001220703125]",True,None,False,None
54,54,1.7692273880707035,212.91416891850076,"[-317.3999938964844, -5.000000000000057]",True,None,False,None
55,55,1.7809901039477154,212.92593163437778,"[-316.20001220703125, -3.5]",True,None,False,None
56,56,1.792777456301792,212.93773400897362,"[-317.8999938964844, -3.100006103515625]",True,None,False,None
57,57,1.8045257508265422,212.94946698081185,"[-316.1000061035156, -6.299987792968807]",True,None,False,None
58,58,1.8163091973974588,212.96125072782752,"[-315.79998779296875, -6.100006103515682]",True,None,False,None
59,59,1.828032254556092,212.97297378498615,"[-310.20001220703125, -9.70001220703125]",True,None,False,None
60,60,1.839801880664254,212.98474311064956,"[-309.70001220703125, -7.899993896484375]",True,None,False,None
61,61,1.8515654978759812,212.9965067278613,"[-314.20001220703125, -8.299987792968807]",True,None,False,None
62,62,1.8633095861732727,213.00825081615858,"[-310.79998779296875, -7.70001220703125]",True,None,False,None
63,63,1.875103548313291,213.02004507874335,"[-309.8999938964844, -9.70001220703125]",True,None,False,None
64,64,1.8868437308278772,213.03178526125794,"[-311.1000061035156, -9.600006103515682]",True,None,False,None
65,65,1.8986031418116909,213.04354467224175,"[-311.29998779296875, -10.399993896484375]",True,None,False,None
66,66,1.910385086158385,213.0553263161437,"[-311.29998779296875, -8.79998779296875]",True,None,False,None
